source,target,tgt_lng
AoE,范围,zh-CN
PoE,POE,zh-CN
PoE2,POE2,zh-CN
Supporter,赞助者,zh-CN
Ailment,异常状态,zh-CN
Bleed,流血,zh-CN
Bleeding,流血,zh-CN
Chill,冰缓,zh-CN
Corrupted Blood,腐化之血,zh-CN
Damaging Ailment,伤害型异常状态,zh-CN
Freeze,冻结,zh-CN
Ignite,点燃,zh-CN
Non-damaging Ailment,非伤害型异常状态,zh-CN
Poison,中毒,zh-CN
Shock,感电,zh-CN
Brittle,脆弱,zh-CN
Sap,精疲力尽,zh-CN
Scorch,灼烧,zh-CN
Body Armour,胸甲,zh-CN
Boots,鞋子,zh-CN
Gloves,手套,zh-CN
Helmet,头盔,zh-CN
Acolyte of Chayula,夏乌拉侍僧,zh-CN
Amazon,亚马逊,zh-CN
Blood Mage,血法师,zh-CN
Chronomancer,时空幻术师,zh-CN
Deadeye,锐眼,zh-CN
Infernalist,狱火师,zh-CN
Lich,巫妖,zh-CN
Pathfinder,追猎者,zh-CN
Stormweaver,风暴编织者,zh-CN
Titan,泰坦,zh-CN
Warbringer,战争使者,zh-CN
Witchhunter,女巫猎人,zh-CN
Trial of Chaos,混沌试炼,zh-CN
Trial of the Sekhemas,塞克玛试炼,zh-CN
Dexterity,敏捷,zh-CN
Intelligence,智慧,zh-CN
Strength,力量,zh-CN
Adrenaline,肾上腺素,zh-CN
Arcane Surge,秘术增强,zh-CN
Elusive,灵巧,zh-CN
Onslaught,猛攻,zh-CN
Phasing,迷踪,zh-CN
Rampage,暴怒,zh-CN
Tailwind,提速尾流,zh-CN
Act,章节,zh-CN
Ascendancy Class,升华职业,zh-CN
Character,角色,zh-CN
NPC,NPC,zh-CN
Endurance Charge,耐力球,zh-CN
Frenzy Charge,狂怒球,zh-CN
Inspiration Charge,启迪球,zh-CN
Power Charge,暴击球,zh-CN
Virulence,毒力,zh-CN
Druid,德鲁伊,zh-CN
Huntress,女猎人,zh-CN
Mercenary,佣兵,zh-CN
