source,target,tgt_lng
first degree burn,Ⅰ度烧伤,zh-CN
second degree burn,Ⅱ度烧伤,zh-CN
partial thickness burn,Ⅱ度烧伤,zh-CN
corticotropin-independent Cushing syndrome,ACTH 非依赖性 CS,zh-CN
adrenocorticotropin-independent macronodular adrenal hyperplasia,ACTH 非依赖性结节增生,zh-CN
corticotropin-dependent Cushing syndrome,ACTH 依赖性 CS,zh-CN
CT perfusion,CT 灌注成像,zh-CN
computed tomographic virtual colonoscopy,CT 模拟结肠镜,zh-CN
CT urography,CT 尿路成像,zh-CN
CT angiography,CT 血管造影,zh-CN
Gleason score,Gleason 评分,zh-CN
MEEK skin grafting,MEEK 微型皮片移植,zh-CN
T cell-mediated rejection,T 细胞介导的排斥反应,zh-CN
albendazole,阿苯达唑,zh-CN
amebic liver abscess,阿米巴肝脓肿,zh-CN
depressed fracture,凹陷骨折,zh-CN
Budd-Chiari syndrome,巴德-吉亚利综合征,zh-CN
hernia of linea alba,白线疝,zh-CN
hydatid disease,包虫病,zh-CN
Casoni skin test,包虫囊液皮内试验,zh-CN
phimosis,包茎,zh-CN
redundant prepuce,包皮过长,zh-CN
circumcision,包皮环切术,zh-CN
piggyback liver transplantation,背驮式肝移植,zh-CN
achalasia,贲门失弛缓症,zh-CN
closed injury,闭合伤,zh-CN
closed craniocerebral injury,闭合性颅脑损伤,zh-CN
closed pneumothorax,闭合性气胸,zh-CN
brachial plexus injury,臂丛神经损伤,zh-CN
platybasia,扁平颅底,zh-CN
surface anesthesia,表面麻醉,zh-CN
epidermoid cyst,表皮样囊肿,zh-CN
chondromalacia patellae,髌骨软骨软化症,zh-CN
frozen plasma,冰冻血浆,zh-CN
erectile dysfunction,勃起功能障碍,zh-CN
Brown-Séquard syndrome,布朗-塞卡综合征,zh-CN
abrasion,擦伤,zh-CN
intestinal atresia,肠闭锁,zh-CN
intestinal obstruction,肠梗阻,zh-CN
interloop abscess,肠间脓肿,zh-CN
intestinal tuberculosis,肠结核,zh-CN
gut brain,肠脑,zh-CN
enteral nutrition,肠内营养,zh-CN
volvulus,肠扭转,zh-CN
intestinal splinting,肠排列,zh-CN
intestinal intussusception,肠套叠,zh-CN
parenteral nutrition,肠外营养,zh-CN
intestinal polyps,肠息肉,zh-CN
intestinal polyposis,肠息肉病,zh-CN
superior mesenteric arterial embolism,肠系膜上动脉栓塞,zh-CN
superior mesenteric arterial thrombosis,肠系膜上动脉血栓形成,zh-CN
superior mesenteric artery syndrome,肠系膜上动脉综合征,zh-CN
superior mesenteric venousthrombosis,肠系膜上静脉血栓形成,zh-CN
intestinal stenosis,肠狭窄,zh-CN
gut derived infection,肠源性感染,zh-CN
hyperacute rejection,超急性排斥反应,zh-CN
ultrasonic endoscope,超声内镜,zh-CN
endoscopic ultrasonography,超声内镜检查,zh-CN
adult-type diffuse astrocytoma,成人弥漫性星形细胞瘤,zh-CN
injury of ulnar nerve,尺神经损伤,zh-CN
voided bladder one,初段尿,zh-CN
penetrating diaphragmatic injury,穿透性膈肌损伤,zh-CN
penetrating cardiac injury,穿透性心脏损伤,zh-CN
migrating myoelectrical complex,传导性肌电复合波,zh-CN
traditional serrated adenoma,传统锯齿状腺瘤,zh-CN
wound healing phase,创面修复期,zh-CN
post-traumatic stress disorder,创伤后应激障碍,zh-CN
traumatic bile duct injury,创伤性胆管损伤,zh-CN
traumatic shock,创伤性休克,zh-CN
traumatic asphyxia,创伤性窒息,zh-CN
pituitary adenoma,垂体腺瘤,zh-CN
magnetic resonance imaging,磁共振成像,zh-CN
magnetic resonance cholangiopancreatography,磁共振胆胰管成像,zh-CN
magnetic resonance angiography,磁共振血管造影,zh-CN
erythropoietin,促红细胞生成素,zh-CN
contusion,挫伤,zh-CN
massive transfusion,大量输血,zh-CN
aneurysm of vein of Galen,大脑大静脉动脉瘤,zh-CN
metabolic alkalosis,代谢性碱中毒,zh-CN
metabolic acidosis,代谢性酸中毒,zh-CN
desmoid fibromatosis,带状纤维瘤,zh-CN
erysipelas,丹毒,zh-CN
unilateral adrenal hyperplasia,单侧肾上腺增生,zh-CN
simple goiter,单纯性甲状腺肿,zh-CN
simple cyst of kidney,单纯性肾囊肿,zh-CN
pancreas transplantation alone,单纯胰腺移植,zh-CN
single-photon emission computed tomography,单光子发射计算机断层显像,zh-CN
single nucleotide polymorphism,单核苷酸多态性,zh-CN
biliary atresia,胆道闭锁,zh-CN
hemobilia,胆道出血,zh-CN
biliary ascariasis,胆道蛔虫病,zh-CN
biliary stent,胆道支架,zh-CN
carcinoma of bile duct,胆管癌,zh-CN
benign stricture of bile duct,胆管良性狭窄,zh-CN
peribiliary vascular plexus,胆管周围血管丛,zh-CN
carcinoma of gallbladder,胆囊癌,zh-CN
gallbladder perforation,胆囊穿孔,zh-CN
gallbladder polyps,胆囊息肉,zh-CN
polypoid lesions of gallbladder,胆囊息肉样病变,zh-CN
acute gallstone pancreatitis,胆源性急性胰腺炎,zh-CN
urethral catheter,导尿管,zh-CN
isotonic dehydration,等渗性脱水,zh-CN
papillary urothelial neoplasm of low malignant potential,低度恶性潜能的乳头状尿路上皮肿瘤,zh-CN
hypocalcemia,低钙血症,zh-CN
hypokalemia,低钾血症,zh-CN
hypophosphatemia,低磷血症,zh-CN
hypomagnesemia,低镁血症,zh-CN
