source,target,tgt_lng
account settings,账户设置,zh-CN
account overview,账户概览,zh-CN
account information,账户信息,zh-CN
account details,账户详细信息,zh-CN
account holder,账户持有人,zh-CN
account number,账户号码,zh-CN
account balance,账户余额,zh-CN
account status,账户状态,zh-CN
account activity,账户活动记录,zh-CN
account history,账户历史记录,zh-CN
account recovery,账户恢复,zh-CN
account verification,账户验证,zh-CN
verify your account,验证您的账户,zh-CN
create an account,创建账户,zh-CN
open an account,开立账户,zh-CN
close an account,关闭账户,zh-CN
delete your account,删除您的账户,zh-CN
deactivate your account,停用您的账户,zh-CN
reactivate your account,重新启用您的账户,zh-CN
switch accounts,切换账户,zh-CN
add another account,添加其他账户,zh-CN
personal account,个人账户,zh-CN
business account,企业账户,zh-CN
joint account,联名账户,zh-CN
guest account,访客账户,zh-CN
account administrator,账户管理员,zh-CN
profile settings,个人资料设置,zh-CN
profile information,个人资料信息,zh-CN
profile picture,个人资料图片,zh-CN
preferred name,常用姓名,zh-CN
name on account,账户登记姓名,zh-CN
date of birth,出生日期,zh-CN
preferred language,首选语言,zh-CN
communication preferences,沟通偏好,zh-CN
notification preferences,通知偏好,zh-CN
email notifications,电子邮件通知,zh-CN
text message notifications,短信通知,zh-CN
push notifications,推送通知,zh-CN
marketing communications,营销信息,zh-CN
unsubscribe from emails,取消订阅电子邮件,zh-CN
manage subscriptions,管理订阅,zh-CN
sign-in information,登录信息,zh-CN
sign-in method,登录方式,zh-CN
sign-in attempt,登录尝试,zh-CN
sign-in activity,登录活动记录,zh-CN
sign in with email,使用电子邮件登录,zh-CN
sign in with phone number,使用手机号码登录,zh-CN
sign in with Apple,通过 Apple 登录,zh-CN
sign in with Google,通过 Google 登录,zh-CN
sign in with Microsoft,通过 Microsoft 登录,zh-CN
continue as guest,以访客身份继续,zh-CN
stay signed in,保持登录状态,zh-CN
sign out of all devices,从所有设备退出登录,zh-CN
session expired,会话已过期,zh-CN
active session,当前活动会话,zh-CN
trusted device,受信任设备,zh-CN
recognized device,已识别设备,zh-CN
new device detected,检测到新设备,zh-CN
unrecognized sign-in,无法识别的登录,zh-CN
suspicious activity detected,检测到可疑活动,zh-CN
security alert,安全提醒,zh-CN
security settings,安全设置,zh-CN
security checkup,安全检查,zh-CN
login credentials,登录凭据,zh-CN
username or email,用户名或电子邮件,zh-CN
current password,当前密码,zh-CN
confirm new password,确认新密码,zh-CN
forgot your password,忘记密码,zh-CN
reset your password,重置密码,zh-CN
password reset link,密码重置链接,zh-CN
password reset email,密码重置邮件,zh-CN
password requirements,密码要求,zh-CN
password strength,密码强度,zh-CN
one-time passcode,一次性验证码,zh-CN
verification code,验证码,zh-CN
recovery code,恢复代码,zh-CN
recovery email address,恢复用电子邮件地址,zh-CN
recovery phone number,恢复用手机号码,zh-CN
security question,安全问题,zh-CN
biometric authentication,生物识别身份验证,zh-CN
identity verification,身份验证,zh-CN
proof of identity,身份证明,zh-CN
government-issued ID,政府签发的身份证件,zh-CN
proof of address,地址证明,zh-CN
upload your ID,上传身份证件,zh-CN
verify your identity,验证您的身份,zh-CN
privacy settings,隐私设置,zh-CN
privacy preferences,隐私偏好,zh-CN
privacy notice,隐私声明,zh-CN
privacy choices,隐私选项,zh-CN
privacy rights,隐私权利,zh-CN
personal information,个人信息,zh-CN
sensitive personal information,敏感个人信息,zh-CN
personal data request,个人数据请求,zh-CN
access your data,访问您的数据,zh-CN
download your data,下载您的数据,zh-CN
delete your data,删除您的数据,zh-CN
correct your information,更正您的信息,zh-CN
data retention period,数据保留期限,zh-CN
data processing purposes,数据处理目的,zh-CN
data sharing partners,数据共享合作方,zh-CN
third-party services,第三方服务,zh-CN
third-party cookies,第三方 Cookie,zh-CN
essential cookies,必要 Cookie,zh-CN
optional cookies,可选 Cookie,zh-CN
cookie preferences,Cookie 偏好设置,zh-CN
cookie consent,Cookie 使用同意,zh-CN
accept all cookies,接受所有 Cookie,zh-CN
reject non-essential cookies,拒绝非必要 Cookie,zh-CN
manage cookie settings,管理 Cookie 设置,zh-CN
do not sell my personal information,请勿出售我的个人信息,zh-CN
do not share my personal information,请勿共享我的个人信息,zh-CN
opt out of targeted advertising,退出定向广告,zh-CN
interest-based advertising,基于兴趣的广告,zh-CN
location permissions,位置权限,zh-CN
camera permissions,相机权限,zh-CN
microphone permissions,麦克风权限,zh-CN
contacts permissions,通讯录权限,zh-CN
photo library access,照片图库访问权限,zh-CN
allow while using the app,仅在使用 App 时允许,zh-CN
ask every time,每次询问,zh-CN
permission denied,权限被拒绝,zh-CN
manage app permissions,管理 App 权限,zh-CN
accessibility settings,辅助功能设置,zh-CN
display settings,显示设置,zh-CN
language settings,语言设置,zh-CN
region settings,地区设置,zh-CN
time zone settings,时区设置,zh-CN
high contrast mode,高对比度模式,zh-CN
screen reader support,屏幕阅读器支持,zh-CN
keyboard navigation,键盘导航,zh-CN
closed caption settings,隐藏式字幕设置,zh-CN
support center,支持中心,zh-CN
contact support,联系支持团队,zh-CN
customer support representative,客户支持专员,zh-CN
submit a request,提交请求,zh-CN
support ticket,支持工单,zh-CN
support ticket number,工单编号,zh-CN
report a problem,报告问题,zh-CN
report inappropriate content,举报不当内容,zh-CN
send feedback,发送反馈,zh-CN
feedback form,反馈表,zh-CN
frequently asked questions (FAQ),常见问题 FAQ,zh-CN
step-by-step instructions,分步说明,zh-CN
troubleshooting guide,故障排除指南,zh-CN
service status page,服务状态页面,zh-CN
scheduled maintenance,计划维护,zh-CN
temporary service interruption,服务暂时中断,zh-CN
page not found,找不到页面,zh-CN
access denied,访问被拒绝,zh-CN
request timed out,请求超时,zh-CN
something went wrong,出现问题,zh-CN
try again later,请稍后重试,zh-CN
refresh the page,刷新页面,zh-CN
return to homepage,返回首页,zh-CN
open in new window,在新窗口中打开,zh-CN
open in new tab,在新标签页中打开,zh-CN
copy link address,复制链接地址,zh-CN
share this page,分享此页面,zh-CN
