source,target,tgt_lng
"""Lingo Collection - Part One""",《新东春西典·其一》,zh-CN
Aalto,秋水,zh-CN
Abyss Surges,擎渊怒涛,zh-CN
Abyssal Gladius,持刃贵族,zh-CN
Abyssal Mercator,凝水贵族,zh-CN
Abyssal Patricius,毒冠贵族,zh-CN
Adagio Helix,柔板涡流,zh-CN
Advanced Energy Core,高级能源核心,zh-CN
Advanced Resonance Potion,高级共鸣促剂,zh-CN
Advanced Sealed Tube,高级密音筒,zh-CN
Aemeath,爱弥斯,zh-CN
Aero,气动,zh-CN
Aero Drake,小翼龙·气动,zh-CN
Aero Predator,巡徊猎手,zh-CN
Aero Prism,气动棱镜,zh-CN
Aether Strike,凌空,zh-CN
Afterglow Coral,余波珊瑚,zh-CN
Ages of Harvest,时和岁稔,zh-CN
Amity Accord,袍泽之固,zh-CN
Andante Helix,行板涡流,zh-CN
Angelica,清芬草,zh-CN
Astrite,星声,zh-CN
ATK,攻击,zh-CN
Augment,清音,zh-CN
Augusta,奥古斯塔,zh-CN
Aureate Picket,金庭候,zh-CN
Aureate Zenith,金穹,zh-CN
Autopuppet Scout,巡哨机傀,zh-CN
Autumntrace,纹秋,zh-CN
Azure Lizard,蓝棘蜥,zh-CN
Azure Oath,天之苍苍,zh-CN
Baby Roseshroom,刺玫菇（稚形）,zh-CN
Baby Viridblaze Saurian,绿熔蜥（稚形）,zh-CN
Baizhi,白芷,zh-CN
Baizhi's Waveband,白芷的回音频段,zh-CN
Basic Attack,普攻,zh-CN
Basic Energy Core,初级能源核心,zh-CN
Basic Resonance Potion,初级共鸣促剂,zh-CN
Basic Ring,基准镣环,zh-CN
Basic Sealed Tube,初级密音筒,zh-CN
Beguiling Melody,钧天正音,zh-CN
Bell-Borne Geochelone,鸣钟之龟,zh-CN
Belle Poppy,妙弋花,zh-CN
Bird Egg,鸟蛋,zh-CN
Bittberry,金铃子,zh-CN
Black-Striped Frog,黑纹蛙,zh-CN
Blazing Brilliance,赫奕流明,zh-CN
Blazing Justice,焰光裁定,zh-CN
Bloodpact's Pledge,血誓盟约,zh-CN
Blue Feather Butterfly,蓝羽蝶,zh-CN
Boost Unit,释力元件,zh-CN
Boson Astrolabe,玻色星仪,zh-CN
Brant,布兰特,zh-CN
Broadblade,长刃,zh-CN
Broadblade of Night,暗夜长刃·玄明,zh-CN
Broadblade of Voyager,远行者长刃·辟路,zh-CN
Broadblade#41,重破刃-41型,zh-CN
Buling,卜灵,zh-CN
Bunnywort,月藻,zh-CN
Cadence Blossom,声律花蕾,zh-CN
Cadence Bud,声律萌芽,zh-CN
Cadence Leaf,声律新叶,zh-CN
Cadence Seed,声律种核,zh-CN
Cadenza,华彩乐段,zh-CN
Calamity Effigy,天傀劫煞,zh-CN
Calcharo,卡卡罗,zh-CN
Calcified Junrock,釉变幼岩,zh-CN
Call of the Abyss,渊海回声,zh-CN
Caltrop,菱果,zh-CN
Camellya,椿,zh-CN
Cantarella,坎特蕾拉,zh-CN
Capitaneus,荣光节使,zh-CN
Carapace,车刃镰,zh-CN
Carlotta,珂莱塔,zh-CN
Cartethyia,卡提希娅,zh-CN
Celestial Light,浮星祛暗,zh-CN
Celestial Spiral,尘云旋臂,zh-CN
Changli,长离,zh-CN
Chasm Guardian,冥渊守卫,zh-CN
Chest Mimic,欺诈奇藏,zh-CN
Chirpuff,啾啾河豚,zh-CN
Chisa,千咲,zh-CN
Chixia,炽霞,zh-CN
Chixia's Waveband,炽霞的回音频段,zh-CN
Chop Chop,浮灵偶,zh-CN
Chop Chop: Headless,浮灵偶·海德,zh-CN
Chop Chop: Leftless,浮灵偶·蕾弗,zh-CN
Chop Chop: Rightless,浮灵偶·莱特,zh-CN
Chromatic Foam,斑驳粉饰之沫,zh-CN
Chromeshell,锦色贝,zh-CN
Chrysopa,叶翅蛉,zh-CN
Ciaccona,夏空,zh-CN
Clang Bang,叮咚咚,zh-CN
Cliffrecluse,崖仙子,zh-CN
Climbing Fig,木莲,zh-CN
Comet Flare,异度,zh-CN
Commando of Conviction,不归孤军,zh-CN
Concerto Energy,协奏能量,zh-CN
Coriolus,云芝,zh-CN
Corrosaurus,蚀脊龙,zh-CN
Cosmic Ripples,漪澜浮录,zh-CN
Crit. DMG,暴击伤害,zh-CN
Crit. Rate,暴击,zh-CN
Crown of Valor,荣斗铸锋之冠,zh-CN
Crownless,无冠者,zh-CN
Crude Ring,简陋镣环,zh-CN
Cruisewing,游弋蝶,zh-CN
Crystal Solvent,结晶溶剂,zh-CN
Cuddle Wuddle,巨布偶,zh-CN
Cyan-Feathered Heron,青羽鹭,zh-CN
Danjin,丹瑾,zh-CN
Danjin's Waveband,丹瑾的回音频段,zh-CN
Data Bank,数据坞,zh-CN
Dauntless Evernight,永夜长明,zh-CN
Daybreaker's Spine,白昼之脊,zh-CN
DEF,防御,zh-CN
Defier's Thorn,不屈命定之冠,zh-CN
Denia,达妮娅,zh-CN
