source,target,tgt_lng
11β-hydroxylase deficiency,11β-羟化酶缺乏症,zh-CN
type 1 diabetes mellitus,1 型糖尿病,zh-CN
21-hydroxylase deficiency,21-羟化酶缺乏症,zh-CN
2 hours plasma glucose,2 小时血糖,zh-CN
type 2 diabetes mellitus,2 型糖尿病,zh-CN
interferon-gamma release assays,γ-干扰素释放试验,zh-CN
ANCA associated vasculitis,ANCA 相关血管炎,zh-CN
Burkitt lymphoma/leukemia,Burkitt 淋巴瘤,zh-CN
computed tomography pulmonary angiography,CT 肺动脉造影,zh-CN
Donath-Landsteiner antibody,D-L 抗体,zh-CN
D-dimer,D-二聚体,zh-CN
Graves disease,Graves 病,zh-CN
Graves ophthalmopathy,Graves 眼病,zh-CN
H2-receptor antagonist,H2 受体拮抗剂,zh-CN
IgA nephropathy,IgA 肾病,zh-CN
IgG4-related disease,IgG4 相关性疾病,zh-CN
SARS-associated coronavirus,SARS 冠状病毒,zh-CN
ST-segment elevation myocardial infarction,ST 段抬高型心肌梗死,zh-CN
opium,阿片,zh-CN
Eisenmenger syndrome,艾森门格综合征,zh-CN
carbamate insecticide poisoning,氨基甲酸酯类杀虫剂中毒,zh-CN
chelating agent,螯合剂,zh-CN
leukemia,白血病,zh-CN
walled-off necrosis,包裹性坏死,zh-CN
Behcet disease,贝赫切特病,zh-CN
Bence-Jones protein,本周蛋白,zh-CN
chlorambucil,苯丁酸氮芥,zh-CN
pyrazinamide,吡嗪酰胺,zh-CN
essential amino acids,必需氨基酸,zh-CN
marginal zone lymphoma,边缘区淋巴瘤,zh-CN
variant angina pectoris,变异型心绞痛,zh-CN
allergic bronchopulmonary aspergillosis,变应性支气管肺曲霉病,zh-CN
constipation,便秘,zh-CN
alanine aminotransferase,丙氨酸转氨酶,zh-CN
propylthiouracil,丙硫氧嘧啶,zh-CN
hepatitis C virus,丙型肝炎病毒,zh-CN
viral pneumonia,病毒性肺炎,zh-CN
atypical adenomatous hyperplasia,不典型腺瘤性增生,zh-CN
obscure gastrointestinal bleeding,不明原因消化道出血,zh-CN
unstable angina,不稳定型心绞痛,zh-CN
color doppler flow imaging,彩色多普勒血流显像,zh-CN
favism,蚕豆病,zh-CN
postpartum thyroiditis,产后甲状腺炎,zh-CN
intestinal tuberculosis,肠结核,zh-CN
colonoscopy,肠镜,zh-CN
intestinal metaplasia,肠上皮化生,zh-CN
irritable bowel syndrome,肠易激综合征,zh-CN
endoscopic ultrasonography,超声内镜,zh-CN
adult-onset Still disease,成人斯蒂尔病,zh-CN
delayed polyneuropathy,迟发性多发神经病,zh-CN
continuous ambulatory peritoneal dialysis,持续非卧床腹膜透析,zh-CN
pituitary tumor,垂体瘤,zh-CN
pure red cell aplasia,纯红细胞再生障碍,zh-CN
magnetic resonance cholangiopancreatography,磁共振胆胰管成像,zh-CN
magnetic resonance pulmonary angiography,磁共振肺动脉造影,zh-CN
erythropoietin,促红细胞生成素,zh-CN
prolactin,催乳素,zh-CN
Takayasu arteritis,大动脉炎,zh-CN
metabolism,代谢,zh-CN
metabolic syndrome,代谢综合征,zh-CN
simple goiter,单纯性甲状腺肿,zh-CN
single photon emission computed tomography,单光子发射计算机断层成像,zh-CN
single chain variable fragment,单链可变区,zh-CN
cholecystolithiasis,胆囊结石,zh-CN
cholecystitis,胆囊炎,zh-CN
freshwater drowning,淡水淹溺,zh-CN
hypokalemia,低钾血症,zh-CN
low density lipoprotein cholesterol,低密度脂蛋白胆固醇,zh-CN
hyponatremia,低钠血症,zh-CN
hypovolemic shock,低血容量性休克,zh-CN
hypoglycemia,低血糖症,zh-CN
iodine deficiency disorder,碘缺乏病,zh-CN
electromechanical dissociation,电机械分离,zh-CN
electrical current,电流,zh-CN
quantitative flow ratio,定量血流分数,zh-CN
patent ductus arteriosus,动脉导管未闭,zh-CN
atherosclerosis,动脉粥样硬化,zh-CN
atherosclerotic cardiovascular disease,动脉粥样硬化性心血管疾病,zh-CN
frozen rigor,冻僵,zh-CN
venomous snake bite,毒蛇咬伤,zh-CN
muscarinic sign,毒蕈碱样症状,zh-CN
polysomnography,多导睡眠监测,zh-CN
multiple endocrine neoplasia,多发性内分泌腺瘤病,zh-CN
multi-band mucosectomy,多环套扎内镜黏膜切除术,zh-CN
