source,target,tgt_lng
"Breakfast Dog","早餐热狗",zh-CN
"Chairman's Club","礼宾俱乐部",zh-CN
"Chili Dog","香辣热狗",zh-CN
"Lost Squad","《失落中队》",zh-CN
"Mōhio Museum","博识博物馆",zh-CN
"Rachel Lester","雷切尔·莱斯特",zh-CN
"""A Gift for Baba""","《给奶奶的礼物》",zh-CN
"""Death From Above""","“死神天降”",zh-CN
"""Fate""","“命运”",zh-CN
"""Fly or Die""","“翱翔或者灭亡”",zh-CN
"""Onto the Break""","《突破》",zh-CN
"""Protection Provided""","“守护常在”",zh-CN
"""The Starman's Farewell""","《太空兵的告别》",zh-CN
"%ls","%ls",zh-CN
"'One Meal' Nutrition Bar (Grilled Steak)","“壹餐”营养棒（烤牛排味）",zh-CN
"'One Meal' Nutrition Bar (Roasted Chicken)","“壹餐”营养棒（烤鸡味）",zh-CN
"'One Meal' Nutrition Bar (Spicy Salmon)","“壹餐”营养棒（辣鲑鱼味）",zh-CN
"'YOUR GOODS IN GOOD HANDS'","'您的货物，有我保障'",zh-CN
"(Apex)","（巅峰期）",zh-CN
"-Delivering the Total Package-","-全套体贴货运服务-",zh-CN
"100i","100i",zh-CN
"125a","125a",zh-CN
"135c","135c",zh-CN
"250-E Laser Pointer","250-E 激光瞄准器",zh-CN
"2nd Lieutenant","少尉",zh-CN
"2Tuf","得劲儿",zh-CN
"300i","300i",zh-CN
"315p","315p",zh-CN
"325a","325a",zh-CN
"350r","350r",zh-CN
"400i","400i",zh-CN
"55-GR","55-GR",zh-CN
"5CA Akura","5CA 阿库拉",zh-CN
"5MA Chimalli","5MA 希马尔里",zh-CN
"5SA Rhada","5SA 拉达",zh-CN
"600i","600i",zh-CN
"600i Executive Edition","600i 行政版",zh-CN
"600i Exploration","600i 探索",zh-CN
"600i flight jacket","600i 飞行夹克",zh-CN
"600i Touring","600i 旅行",zh-CN
"6CA Bila","6CA 比拉",zh-CN
"6MA Kozane","6MA 科赞",zh-CN
"6SA Arbiter","6SA 阿比特",zh-CN
"78 Leonis","78 里奥斯",zh-CN
"7CA Nargun","7CA 纳尔贡",zh-CN
"7MA Lorica","7MA 洛丽卡",zh-CN
"7SA Concord","7SA 康科德",zh-CN
"85X","85X",zh-CN
"88-BR","88-BR",zh-CN
"88s","88 系列",zh-CN
"890 Jump","890 跃动",zh-CN
"987","987",zh-CN
"99","99",zh-CN
"A forager‘s guide to stanton","斯坦顿采集者指南",zh-CN
"A Word from Our Sponsors","来自赞助商的话",zh-CN
"A-Tek","爱踏客",zh-CN
"A2 Hercules","大力神 A2",zh-CN
"Aadya","阿迪亚",zh-CN
"Aarin","阿林",zh-CN
"Aaron Douze","亚伦·杜泽",zh-CN
"Aaron Fring","艾伦·弗林",zh-CN
"Aaron Frost","亚伦·弗罗斯特",zh-CN
"Aaron Halo","亚伦环带",zh-CN
"Aaron Riegert","亚伦·里格特",zh-CN
"Aaron Schere","亚伦·谢尔",zh-CN
"Aarthi","阿尔蒂",zh-CN
"Abbie","阿比",zh-CN
"Abby","艾比",zh-CN
"Abe towers","亚伯塔",zh-CN
"Abelina","阿贝琳娜",zh-CN
"Aberdeen","阿伯丁",zh-CN
"Aberdeen Hurston","阿伯丁·赫斯顿",zh-CN
"Abernathy Interiors","阿伯纳西室内",zh-CN
"Abetti","阿贝提",zh-CN
"Abida","阿比达",zh-CN
"Abigail","阿比盖尔",zh-CN
"Able Baker Challenge","贝克征服挑战赛",zh-CN
"Above & Beyond Insurance","至高超越保险",zh-CN
"Abrar","阿布拉",zh-CN
"Abril","阿布里尔",zh-CN
"abs.","绝对值（速度/加速度/坐标）",zh-CN
"Absolute Zero","绝对零度",zh-CN
"Absorption","吸收率",zh-CN
"AC","竞技场指挥官",zh-CN
"Accelerated Mass Design","加速质量设计",zh-CN
"Acceleration Limiter (Abs.)","加速度限制器（Abs.）",zh-CN
"Access Card","访问卡",zh-CN
"Ace Astrogation","王牌航天",zh-CN
"Acheron","阿彻伦",zh-CN
"Achilles Heavy Armor","阿喀琉斯重甲",zh-CN
"Aciedo","亚希多",zh-CN
"Aciedo CommRelay","亚希多通信",zh-CN
"ACOM","ACOM",zh-CN
"Acorn Limited","橡实有限公司",zh-CN
"AcryliPlex Composite","亚克力络合物复合材料",zh-CN
"Actively Incarcerated","在押人员",zh-CN
"ActiveWear","主动装备",zh-CN
"Adagio Holdings","阿德吉奥集团",zh-CN
"Adel Fansekar","阿黛尔·范瑟卡",zh-CN
"Adena Freund","阿登纳·弗洛恩德",zh-CN
"Adir","阿迪尔",zh-CN
"Adira Falls","阿迪拉瀑布",zh-CN
"Adiva","阿迪瓦",zh-CN
"Admin Center","行政中心",zh-CN
"Admiral","上将",zh-CN
"Admiral Ernst Bishop","恩斯特·毕晓普上将",zh-CN
"Adorai Zahid","阿道莱·扎希德",zh-CN
"ADP-mk4 Heavy Armor","ADP-mk4 重甲",zh-CN
"AdrenaPen","肾上腺素笔",zh-CN
"Adrift","逐流",zh-CN
"Adroit","灵巧",zh-CN
"advance mode","进阶模式",zh-CN
"AdVance NanoGraph","先进纳米石墨",zh-CN
"Advanced Combat Training Gauntlet","高级战斗训练高塔",zh-CN
"Advanced Operative","进阶特派人员",zh-CN
"Advanced Tracker License Certification","精英赏金猎人执照",zh-CN
"Advocacy","督导局",zh-CN
"Advocacy Archive","督导局档案",zh-CN
"Adze","扁斧",zh-CN
"Aegis","圣盾",zh-CN
"Aegis Dynamics","圣盾动力",zh-CN
"Aegis Reclaimer","圣盾 回收者",zh-CN
"Aego","艾戈",zh-CN
"Aero","气流",zh-CN
"Aeroview Hangars","俯瞰机库",zh-CN
"Afterburner","加力燃烧",zh-CN
"Afterlife","来生",zh-CN
"Agate Gray","玛瑙灰",zh-CN
"Aggravated Assault","蓄意伤害",zh-CN
"Aggravated Criminal Damage","严重刑事损害",zh-CN
"Agitator","煽动者",zh-CN
"Agni","阿格尼",zh-CN
"Agricium","艾格瑞金属",zh-CN
"Supplies","农业物资",zh-CN
"Agricultural Goods","农业产品",zh-CN
"Agricultural Supplies","农业用品",zh-CN
"Agricultural Supply","农业用品",zh-CN
"Agrippa","阿格里帕",zh-CN
"Agrodolce Delight Kacho","阿格道奇欢喜卡乔面",zh-CN
"Agure","阿古雷",zh-CN
"Ahmanson","阿曼森",zh-CN
"Ail'ka","艾尔'卡",zh-CN
"Aim Mode (Pitch)","瞄准模式（俯仰）",zh-CN
"Aim Mode (Yaw)","瞄准模式（偏转）",zh-CN
"Aimi Zentani","爱米·森塔尼",zh-CN
"AirFresh","新风",zh-CN
"Aither","太空之神",zh-CN
"Aiya/Touvoni","艾娅/图瓦尼",zh-CN
"Ajax Security Uniform","阿贾克斯 安保制服",zh-CN
"Akiko 'Jackal' Bazin","亚希子""豺狼""巴赞",zh-CN
"Akiro Cluster","阿基洛小行星簇",zh-CN
"Alan Nuevo","艾伦·奴厄弗",zh-CN
"Alana Redmond","阿拉娜·瑞德曼德",zh-CN
"Alatorres Forward Operating Base","阿拉特雷斯前线基地",zh-CN
"Alban","奥尔本",zh-CN
"Albert Triolo","阿尔伯塔·特奥罗",zh-CN
"Aldus Carmichael","奥尔德斯·卡迈克尔",zh-CN
"Alejo Brothers","阿莱霍兄弟",zh-CN
"Alexei Dario","阿莱克西·达里奥",zh-CN
"Algid","风寒",zh-CN
"Ali Bojang","阿里·博扬",zh-CN
"ALL IS NOT LOST(ALLIS)","为时未晚号",zh-CN
"Allegiant","忠诚",zh-CN
"Allegro","极速",zh-CN
"Alliance Aid","援助联盟",zh-CN
"Alliance Startech","联盟星际科技",zh-CN
"Alloy","合金",zh-CN
"Allstop","全面停滞",zh-CN
"Aloprat","阿罗帕鼠",zh-CN
"Alpha Wolf","头狼",zh-CN
"Alpine Sunset","日落阿尔卑斯",zh-CN
"Altimont","阿特蒙特",zh-CN
"Altrucia","梸树",zh-CN
"Altrucia Lacus","湖生梸树",zh-CN
"Altruciatoxin","梸树毒",zh-CN
"Aluminium","铝",zh-CN
"Aluminum","铝",zh-CN
"Amadi Murnau","阿马迪·穆尔瑙",zh-CN
"Amalga Disposal Services","阿玛咖清理服务",zh-CN
"Amare Jericho","阿玛雷·杰里科",zh-CN
"Ambassador Flights","使节航空",zh-CN
"Amber","琥珀",zh-CN
"Amber Wave","琥珀纹",zh-CN
"Ambit Coverall","境界 连体服",zh-CN
"Ambitious Dream Station","雄心伟梦站",zh-CN
"Ambrose","安布罗斯",zh-CN
"Ambrus suit","安布罗斯",zh-CN
"Amelia Boyd","阿米莉亚·博伊德",zh-CN
"amenities","便利设施",zh-CN
"Amiant Pod","石棉荚",zh-CN
"Amiant Tree","石棉树/石棉荚",zh-CN
"Plague","阿米什瘟疫",zh-CN
"Amioshi Plague","阿米什瘟疫",zh-CN
"Amir Tremaine","阿米尔`特雷曼",zh-CN
"Ammo","弹药",zh-CN
"Ammonia","氨",zh-CN
"Amon & Reese Co.","亚蒙里斯公司",zh-CN
"AMORI NOVAK!","阿莫里·诺瓦克",zh-CN
"Ana","阿纳",zh-CN
"Ana Armor","阿纳护甲",zh-CN
"Anay Wolfe","恩雅·沃尔夫",zh-CN
"Anchor","船锚",zh-CN
"Andes Kello","安德斯·凯洛",zh-CN
"Andre Novoselov","安德烈·诺沃肖洛夫",zh-CN
"Angeli","安吉利",zh-CN
"Angeli's Angels","安杰利天使",zh-CN
"Animus Missile Launcher","敌意 导弹发射器",zh-CN
"Annunciator Panels","报警面板",zh-CN
"Anoushka O'Brian","阿努什卡·奥布赖恩",zh-CN
"Anthony Tanaka","安东尼·田中",zh-CN
"Anti-Hydrogen","反氢",zh-CN
"Antium","安藤",zh-CN
"Antium Armor","安腾护甲",zh-CN
"Anvil","铁砧",zh-CN
"Anvil Aerospace","铁砧航天",zh-CN
"Anvil Ballista Dunestalker","铁砧航天 弩炮 沙丘追猎者",zh-CN
"Anya Sugari","安雅·斯嘉丽",zh-CN
"Anysta","安内斯塔",zh-CN
"Anything you need, anywhere you need it.","尽你所需，达你所在。",zh-CN
"Aopoa","奥波亚",zh-CN
"AP-7 Concussion Grenade","AP-7 震荡手榴弹",zh-CN
"Aparelli","阿帕雷利",zh-CN
"Apex","顶尖",zh-CN
"Apex Hall","峰顶展厅",zh-CN
"Aphorite","紫钠水晶",zh-CN
"Apocalypse Arms","启示录军备",zh-CN
"Apollo","阿波罗",zh-CN
"Apollo Medivac","阿波罗 医疗",zh-CN
"Apollo Triage","阿波罗 分诊",zh-CN
"Aponte Explorer","阿庞特探险家",zh-CN
"Apoxygenite","氧石",zh-CN
"APX Fire Extinguisher","APX 灭火器",zh-CN
"Aqua","湖绿色",zh-CN
"Aquamarine","海蓝色",zh-CN
"Aranda","阿兰达",zh-CN
"Aranda Crusader Edition","阿兰达 十字军版",zh-CN
"Arbor","刀轴",zh-CN
"ArcCorp","弧光星",zh-CN
"ArcCorp Mining Area 045","弧光集团采矿站 045",zh-CN
"ArcCorp Mining Area 048","弧光集团采矿站 048",zh-CN
"ArcCorp Mining Area 056","弧光集团采矿站 056",zh-CN
"ArcCorp Mining Area 061","弧光集团采矿站 061",zh-CN
"ArcCorp Mining Area 141","弧光集团采矿站 141",zh-CN
"ArcCorp Mining Area 157","弧光集团采矿站 157",zh-CN
"ArcCorp Processing Center 115","弧光集团加工中心 115",zh-CN
"ArcCorp Processing Center 123","弧光集团加工中心 123",zh-CN
"Arccorp Tower","弧光塔",zh-CN
"Archangel","大天使",zh-CN
"Archangel Station","大天使空间站",zh-CN
"Archibald Autumn","阿奇博尔德 秋橙色",zh-CN
"Archibald Canvas","阿奇博尔德 帆布",zh-CN
"Archibald Cinder","阿奇博尔德 煤灰色",zh-CN
"Archibald Hearth","阿奇博尔德 哈斯色",zh-CN
"Archibald Hurston","阿奇博尔德·赫斯顿",zh-CN
"Archibald Smoke","阿奇博尔德 烟雾",zh-CN
"Arclight Energy Pistol","弧光 能量手枪",zh-CN
"Arctic","北极",zh-CN
"Arctic Digital","极地迷彩",zh-CN
"Arctic Storm","北境暴风",zh-CN
"Arcus","弓形云",zh-CN
"Ardell Hurston","阿德尔·赫斯顿",zh-CN
"Arden-CL Backpack","阿尔登-CL 背包",zh-CN
"Arden-SL","阿尔登-SL 护甲",zh-CN
"Ardent","厄登",zh-CN
"Ardor","炽热",zh-CN
"Area18","18 区",zh-CN
"Aremis","阿雷米斯",zh-CN
"Aremis Post","阿雷米斯通讯",zh-CN
"Ares Inferno","战神 地狱火",zh-CN
"Ares Ion","战神 离子光",zh-CN
"ARES STAR FIGHTER","战神 星际战斗机",zh-CN
"Argo","南船座",zh-CN
"Argo Astronautics","南船座宇航",zh-CN
"Argon","氩",zh-CN
"Argos","阿尔格斯",zh-CN
"Argul Dawn","阿古尔黎明",zh-CN
"Argus","阿古斯",zh-CN
"Ari Barber","阿里·巴伯",zh-CN
"Aria Reilly","阿丽亚·莱利",zh-CN
"Arial","艾瑞尔",zh-CN
"Ariel","艾瑞尔",zh-CN
"Aril","伪壳",zh-CN
"Aris Walesko","阿瑞斯·威尔士科",zh-CN
"Arjun Walzer","阿俊·瓦泽",zh-CN
"Ark Archive","方舟档案",zh-CN
"Arlington gang","阿灵顿帮",zh-CN
"Arlow Gellis","阿洛·盖利什",zh-CN
"Armaan Ascher","阿尔曼·阿舍尔",zh-CN
"Armada","舰队",zh-CN
"ArmaMod","武改厂",zh-CN
"Armillaria","蜜环菌",zh-CN
"Armistice Day","停战日",zh-CN
"Armistice Violation","违反禁火协议",zh-CN
"Armitage","阿米塔奇",zh-CN
"Armor","护甲",zh-CN
"Armored Flight Suit","装甲飞行服",zh-CN
"Arms","臂甲",zh-CN
"Arrastra","阿拉斯塔",zh-CN
"Arrester","逮捕者",zh-CN
"Arrow","箭矢",zh-CN
"Arrow & Ross Weapon Systems","艾罗&罗斯武器公司",zh-CN
"Arrowhead Sniper Rifle","箭头 能量狙击枪",zh-CN
"Arroyo","赭红",zh-CN
"Arsenic","砷",zh-CN
"Art Cormack","阿特·科马克",zh-CN
"Artificial","人造行星",zh-CN
"Artimex","阿蒂麦斯",zh-CN
"Aruto Divani","爱洛朵·迪瓦尼",zh-CN
"Ascension","升天",zh-CN
"Ascension Astro","上升航天",zh-CN
"Ascension Astro Soloshield","上升航天 单兵护盾",zh-CN
"ASD","联科发",zh-CN
"Asgard","阿斯加德",zh-CN
"Ashburn Channel","阿什本通道",zh-CN
"Ashburn Channel Aid Shelter","阿什本通道援助避难所",zh-CN
"Ashfall","落尘",zh-CN
"Asiatica","泛亚组织",zh-CN
"Asif Reader","阿西夫·利德尔",zh-CN
"Aslarite","阿斯莱晶体",zh-CN
"Aspect Ratio","宽高比",zh-CN
"AspectRatioLibrary","宽高比库",zh-CN
"Aspire Grand","志远大厦",zh-CN
"Aspire livery","志远涂装",zh-CN
"Aspis","重盾",zh-CN
"Assailant","攻击者",zh-CN
"Assault","突袭",zh-CN
"Assaulting Security Personnel","袭击警务人员",zh-CN
"Assistant Director","副局长",zh-CN
"Assistant Section Chief","助理地区厅长",zh-CN
"Assistant Special Agent-in-Charge","助理特别探督",zh-CN
"Associate","助理",zh-CN
"Associate Contractor","副承包商",zh-CN
"Associated Science & Development","联合科学与开发公司",zh-CN
"Astatine","砹",zh-CN
"Aster","紫苑",zh-CN
"Aster Remmington","阿斯特·雷明顿",zh-CN
"Astley Black","阿斯特利 黑色",zh-CN
"Astley Sunset","阿斯特利 日落色",zh-CN
"Aston Ridge","阿斯顿岭",zh-CN
"Aston Ridge Aid Shelter","阿斯顿岭援助避难所",zh-CN
"Astor's Clearing","阿斯特空地",zh-CN
"Astral Plane","《星界飞机》",zh-CN
"Astrid Messer","阿斯特里德·梅塞尔",zh-CN
"Astro Arena","天文竞技场",zh-CN
"Astro Armada","天文舰队",zh-CN
"AstroArmada","天文舰队",zh-CN
"Astromedics: Back from the Brink","太空医疗：起死回生",zh-CN
"Asura","阿修罗",zh-CN
"Atavi","阿塔维",zh-CN
"Ati","埃蒂",zh-CN
"Atlas","擎天巨神",zh-CN
"Atlas Platform","阿特拉斯平台",zh-CN
"Atlasium","巨神合金",zh-CN
"ATLS","ATLS",zh-CN
"Atrophic","肌肉无力",zh-CN
"Attachments","附件",zh-CN
"Attempted Escape from Custody","逃离监禁未遂",zh-CN
"Attempted Homicide","谋杀未遂",zh-CN
"Attrition","磨损",zh-CN
"ATVS","ATVS  Repeaterx",zh-CN
"Atzkav Sniper Rifle","阿兹卡夫 狙击步枪",zh-CN
"Auditor Pants","审计员 长裤",zh-CN
"Auditor Shirt Covalex Edition","审计员 衬衫 科瓦莱什版",zh-CN
"Auditor Shirt Crusader Edition","审计员 衬衫 十字军版",zh-CN
"Aufeis","积冰",zh-CN
"August Dunlow","奥古斯特·顿洛",zh-CN
"August Dunlow Spaceport","奥古斯特·顿洛 空港",zh-CN
"Auris","奥瑞斯",zh-CN
"Aurora","极光",zh-CN
"Aurora CL","极光 CL",zh-CN
"Aurora ES","极光 ES",zh-CN
"Aurora LN","极光 LN",zh-CN
"Aurora LX","极光 LX",zh-CN
"Aurora MR","极光 MR",zh-CN
"Auspicious Red Ram","吉祥红公羊",zh-CN
"Autocannon","自动加农炮",zh-CN
"AutoDoc","智能医生",zh-CN
"autopilot","自动驾驶",zh-CN
"Auxiliary Staff","后备人士",zh-CN
"Ava Skenning","艾娃·斯肯宁",zh-CN
"Avalanche","雪崩",zh-CN
"Avalos Scout","阿瓦洛斯侦察兵",zh-CN
"AvantX","前卫X",zh-CN
"Avasi Scandal","阿瓦西丑闻",zh-CN
"Avel Gedima","阿维尔·吉迪玛",zh-CN
"Avenger","复仇者",zh-CN
"Avenger Stalker","复仇者 追猎",zh-CN
"Avenger Titan","复仇者 泰坦",zh-CN
"Avenger Titan Renegade","复仇者 泰坦变节者",zh-CN
"Avenger Warlock","复仇者 术士",zh-CN
"Aves","飞鸟",zh-CN
"Avivar Alliance","火爆联盟",zh-CN
"Avocado and Corn Sandwich","鳄梨玉米三明治",zh-CN
"Awaken","唤醒",zh-CN
"Axel Adamson","阿克塞尔·亚当森",zh-CN
"Axiom","公理",zh-CN
"Ayana Reyes","阿亚娜·雷耶斯",zh-CN
"Aydo","艾多",zh-CN
"Ayr'ka","艾尔'卡",zh-CN
"Ayre Semisonic","艾尔半音速",zh-CN
"Azrael","死亡天使",zh-CN
"Aztalan","阿兹塔兰",zh-CN
"B.D.L.","血药浓度",zh-CN
"Baas","巴斯",zh-CN
"Bacchus","巴克斯",zh-CN
"Bacchus Flotilla","巴克斯船团",zh-CN
"Backpack","背包",zh-CN
"Backpack Compatibility","可挂载背包",zh-CN
"Backpacks:","可挂载背包类型：",zh-CN
"Bacon Club Sandwich","培根总汇三明治",zh-CN
"Badami","【暂定】巴达米",zh-CN
"Badger Bad","恶獾公司",zh-CN
"Badlands","荒地",zh-CN
"Baer Comet","巴尔彗星",zh-CN
"Bagamba Brockway","巴甘巴·布洛克威",zh-CN
"Baijini Point","拜基尼空间站",zh-CN
"Baker","贝克",zh-CN
"Balaclava and Goggles","头套及目镜",zh-CN
"Balandin","巴兰丁",zh-CN
"Balboa","巴波亚",zh-CN
"Balefire","野火",zh-CN
"Baler","捆扎",zh-CN
"Ballista","弩炮",zh-CN
"Ballistic","实弹",zh-CN
"Balor HCH","巴洛安全",zh-CN
"Balthazar","巴尔萨泽",zh-CN
"Bamoty","巴莫蒂",zh-CN
"Banco Foxwell","班克·福克斯韦尔",zh-CN
"Banded Fessle","蓝带食人鱼",zh-CN
"Banshee","女妖",zh-CN
"Bantam","矮脚鸡",zh-CN
"Banu","巴努",zh-CN
"BANU DEFENDER","巴努防卫者",zh-CN
"Banu Firesale","巴努贱卖",zh-CN
"Banu Protectorate","巴努保护国",zh-CN
"Banu souli","巴努公会",zh-CN
"Bao Ingram","鲍尔·英格拉姆",zh-CN
"Bao Yun","云保",zh-CN
"Barbican","外堡",zh-CN
"Barrel","枪管",zh-CN
"Barrel Palm","桶形棕榈",zh-CN
"Barrymore","巴里摩尔",zh-CN
"Barter Barnhill","巴斯特·巴希尔",zh-CN
"Basara","婆娑罗",zh-CN
"Basilisk","蛇怪公司",zh-CN
"Bass' Caves of Terra","《巴斯：泰拉之岩洞》",zh-CN
"Bastien Nemitz","巴斯蒂安·涅米兹",zh-CN
"Bastion","堡垒",zh-CN
"Battery","电池",zh-CN
"Battery (First Degree)","袭击（一级）",zh-CN
"Battery (Second Degree)","袭击（二级）",zh-CN
"Bautista","包蒂斯塔",zh-CN
"Baylor Ward","贝勒·沃德",zh-CN
"Beacon","信标",zh-CN
"Beacon Rust Society Undersuit","信标基底服-锈红协会版",zh-CN
"Beacon Undersuit","信标基底服",zh-CN
"Beam","光束/光束炮",zh-CN
"beat","拍",zh-CN
"Beautiful Glen Station","美丽峡谷站",zh-CN
"Because staying healthy should be easy","保持健康 就该如此容易",zh-CN
"Beck Russum","贝克·罗森",zh-CN
"BEHR PK-1 Sweeper","贝林 PK-1 清道夫",zh-CN
"Behring","贝林",zh-CN
"Behring consortium","贝林财团",zh-CN
"Beijing Reactor and Enrichment Company","北京反应堆与浓缩设备公司",zh-CN
"Bello Shirt","贝洛衬衫",zh-CN
"Bello T-Shirt Navy","贝洛T恤 海军蓝",zh-CN
"Ben Totland","本·托兰德",zh-CN
"Benaderet Dress","本德雷 长裙",zh-CN
"Bendix","奔德士",zh-CN
"Bengal","孟加拉",zh-CN
"Benicio Lewis, Jr.","小贝尼西奥·刘易斯",zh-CN
"Bennet Hogg","本内特·霍格",zh-CN
"Benson Mining Outpost","本森采矿前哨站",zh-CN
"Beraber Fir","冰蓝枞",zh-CN
"Beradom","冰蓝珀",zh-CN
"Berian","布内恩",zh-CN
"Beringer Brothers","毕林尔兄弟",zh-CN
"Bernard Pak","伯纳德·帕克",zh-CN
"Berry Blend Smoothie","浆果冰沙",zh-CN
"Berserker","狂战士",zh-CN
"beryl","绿柱石",zh-CN
"Bespoke","定制",zh-CN
"best in show","展会最佳",zh-CN
"Better Today Act","美好今日法案",zh-CN
"Bevic Convention Center","贝维克会展中心",zh-CN
"Bevic Group","贝维克集团",zh-CN
"Bexalite","贝沙电气石",zh-CN
"Bezdova","别兹多娃",zh-CN
"Bibiana","毕碧安娜",zh-CN
"Big Barrys","大巴尼",zh-CN
"Big Benny's","大本尼",zh-CN
"Big Benny's T-shirt","大本尼 T恤",zh-CN
