source,target,tgt_lng
(PH)Purified Sigil,净化的符印,zh-CN
"100,000 Steps",十万加行,zh-CN
A Beast Cornered,困兽犹斗,zh-CN
A Letter from Lorath to Donan,一封洛拉斯写给多南的信件,zh-CN
A Personal Journal,个人日志,zh-CN
A Record of My Journey Pt. I,《我的旅行记录》第一部,zh-CN
A grand amount of armor,巨量护甲,zh-CN
A grand amount of charms and seals,巨量神符和封印,zh-CN
A grand amount of experience orbs,巨量经验球,zh-CN
A grand amount of gems,巨量宝石,zh-CN
A grand amount of runes,巨量符文,zh-CN
A grand amount of salvage,巨量分解材料,zh-CN
A grand amount of weapons,巨量武器,zh-CN
A large amount of Horadric reagents,大量赫拉迪姆材料,zh-CN
A large amount of Obducite,大量欧伯度石,zh-CN
A large amount of charms and seals,大量神符和封印,zh-CN
A large amount of dungeon keys,大量地下城钥匙,zh-CN
A large amount of experience orbs,大量经验球,zh-CN
A large amount of gems,大量宝石,zh-CN
A large amount of gold and obols,大量金币和古币,zh-CN
A large amount of weapons,大量武器,zh-CN
A medium amount of Horadric reagents,中量赫拉迪姆材料,zh-CN
A medium amount of armor,中量护甲,zh-CN
A medium amount of charms and seals,中量神符和封印,zh-CN
A medium amount of experience orbs,中量经验球,zh-CN
A medium amount of gems,中量宝石,zh-CN
A medium amount of salvage,中量分解材料,zh-CN
A mythic amount of Horadric reagents,神话量赫拉迪姆材料,zh-CN
A mythic amount of Obducite,神话量欧伯度石,zh-CN
A mythic amount of charms and seals,神话量神符和封印,zh-CN
A mythic amount of dungeon keys,神话量地下城钥匙,zh-CN
A mythic amount of experience orbs,神话量经验球,zh-CN
A mythic amount of gems,神话量宝石,zh-CN
A mythic amount of jewelry,神话量首饰,zh-CN
A mythic amount of runes,神话量符文,zh-CN
A mythic amount of salvage,神话量分解材料,zh-CN
APS Infinite Quest,黑血,zh-CN
APS Planned Choice,黑血,zh-CN
Abandoned Journal,废弃的日志,zh-CN
Abhorrent Heart,可憎之心,zh-CN
Abnormal Weapon,异样的武器,zh-CN
Abstruse Sigil,玄奥符印,zh-CN
Abstruse Sigil Cache,玄奥符印宝匣,zh-CN
Abyssal Bastion,冥渊堡垒,zh-CN
Abyssal Resonance,深渊共振,zh-CN
Accelerating Chaos,加速混沌,zh-CN
Accord of the Wilds,荒野协议,zh-CN
Acid Flux,酸性溶剂,zh-CN
Acrid Caverns,酸腐洞窟,zh-CN
Acrobatics Elixir,杂耍药剂,zh-CN
Adept's Tuning Prism,娴熟调谐棱柱,zh-CN
Adorned-in-blood,血饰之戒,zh-CN
Advanced Techniques,高端技巧,zh-CN
Adventurer's Boots,冒险者靴,zh-CN
Adventurer's Note,冒险者的便条,zh-CN
Ae'grom's Schism,艾格罗姆之裂,zh-CN
Aegis,壁垒,zh-CN
Aggressive Tuning Prism,侵略调谐棱柱,zh-CN
Agile Augments,敏捷强化,zh-CN
Agility Efficiency,灵动效能,zh-CN
Agitator,煽动者,zh-CN
"Ahavarion, Spear of Lycander",阿瓦里昂，莱姗德之矛,zh-CN
Ahu,阿胡,zh-CN
Airidah's Inexorable Will,艾蕊达的无羁意志,zh-CN
