source,target,tgt_lng
Database,資料庫,zh-TW
Cache,快取,zh-TW
Debug,除錯,zh-TW
Framework,框架,zh-TW
Repository,程式碼儲存庫,zh-TW
Middleware,中介軟體,zh-TW
Protocol,通訊協定,zh-TW
Query,查詢,zh-TW
Response,回應,zh-TW
Request,請求,zh-TW
Session,工作階段,zh-TW
Variable,變數,zh-TW
Class,類別,zh-TW
Object,物件,zh-TW
Method,方法,zh-TW
Property,屬性,zh-TW
Parameter,參數,zh-TW
Exception,例外,zh-TW
Console,控制台,zh-TW
Terminal,終端機,zh-TW
Script,腳本,zh-TW
Module,模組,zh-TW
Package,套件,zh-TW
Dependency,相依性,zh-TW
Release,釋出,zh-TW
Build,建置,zh-TW
Deploy,部署,zh-TW
Config,設定,zh-TW
Setting,設定,zh-TW
Plugin,外掛,zh-TW
Extension,擴充功能,zh-TW
Layout,版面配置,zh-TW
Component,元件,zh-TW
Widget,小工具,zh-TW
Template,範本,zh-TW
Encode,編碼,zh-TW
Decode,解碼,zh-TW
Parse,解析,zh-TW
Render,渲染,zh-TW
Compile,編譯,zh-TW
Encryption,加密,zh-TW
Decryption,解密,zh-TW
Authentication,驗證,zh-TW
Authorization,授權,zh-TW
Permission,權限,zh-TW 
Context,語境,zh-TW
Distributed,分散式,zh-TW
Implementation,實作,zh-TW
Interface,介面,zh-TW
Performance,效能,zh-TW
Proxy,代理,zh-TW
Software,軟體,zh-TW
Protocol,協定,zh-TW
Internet,網際網路,zh-TW
Network,網路,zh-TW
Address,位址,zh-TW
Platform,平台,zh-TW
System,系統,zh-TW
Quality,品質,zh-TW
Memory,記憶體,zh-TW
Agent,代理,zh-TW
Argument,引數,zh-TW
Array,陣列,zh-TW
Bit,位元,zh-TW
Boolean,布林,zh-TW
Byte,位元組,zh-TW
Comment,註解,zh-TW
Concatenate,串聯,zh-TW
Declare,宣告,zh-TW
Identifier,識別字,zh-TW
Initialize,初始化,zh-TW
Instance,實例,zh-TW
Iteration,走訪,zh-TW
Library,函式庫,zh-TW
Operator,運算子,zh-TW
Operant,運算元,zh-TW
Repository,儲存庫,zh-TW
Return,回傳,zh-TW
Selector,選擇器,zh-TW
Statement,陳述式,zh-TW
String,字串,zh-TW
Syntax,語法,zh-TW
Type,型別,zh-TW
User,使用者,zh-TW
Domain,網域,zh-TW
Cache,快取記憶體,zh-TW
Packet,封包,zh-TW
Port,埠,zh-TW
Parallel,平行,zh-TW
Real-time,即時,zh-TW
Search,搜尋,zh-TW
Password,密碼,zh-TW
Path,路徑,zh-TW
Matrix,矩陣,zh-TW
Recognition,辨識,zh-TW
Payload,酬載,zh-TW
Period,週期,zh-TW
Permission,允許,zh-TW
Pipeline,管線,zh-TW
Polling,輪詢,zh-TW
Postfix,後置,zh-TW
Prefix,前置,zh-TW
Bus,匯流排,zh-TW
Procedure,程序,zh-TW
Process,處理程序,zh-TW
Queue,佇列,zh-TW
Stack,堆疊,zh-TW
Window,視窗,zh-TW
Uninstall,解除安裝,zh-TW
Firmware,韌體,zh-TW
Screen,螢幕,zh-TW
Disk,硬碟,zh-TW
Community,社群,zh-TW
Data,資料,zh-TW
Optimization,最佳化,zh-TW
Activation,啟用,zh-TW
Bandwidth,頻寬,zh-TW
Default,預設,zh-TW
Debug,除錯,zh-TW
Icon,圖示,zh-TW
Link,連結,zh-TW
Login,登入,zh-TW
Logout,登出,zh-TW
Media,媒體,zh-TW
Match,比對,zh-TW
Message,訊息,zh-TW
Print,線上,zh-TW
Online,線上,zh-TW
Resolution,解析度,zh-TW
Rollback,復原,zh-TW
Sensor,感測器,zh-TW
Save,儲存,zh-TW
Weighted,權重,zh-TW
File,檔案,zh-TW
Interact,互動,zh-TW
Remote,遠端,zh-TW
Scroll,遠軸,zh-TW
Update,更新,zh-TW
Audio,音訊,zh-TW
Loss,遺失,zh-TW
Mask,遮罩,zh-TW
