source,target,tgt_lng
Packraft,背包船,zh-CN
Backpack boat,背包船,zh-CN
Hull,船体,zh-CN
Tube,浮筒,zh-CN
Floor,船底,zh-CN
Bow,船头,zh-CN
Stern,船尾,zh-CN
Cockpit,座舱,zh-CN
Deck,甲板,zh-CN
Spray deck,防浪甲板,zh-CN
Spray skirt,防浪裙,zh-CN
Coaming,舱口围边,zh-CN
Thwart,横向座囊,zh-CN
Self-bailing floor,自排水船底,zh-CN
Packraft designs,背包船设计,zh-CN
Utility boat,通用型背包船,zh-CN
Whitewater packraft,白水背包船,zh-CN
Two-person packraft,双人背包船,zh-CN
Hull shape,船体外形,zh-CN
Packraft fit,背包船尺寸适配,zh-CN
Primary stability,初稳性,zh-CN
Secondary stability,次稳性,zh-CN
Hull speed,船体临界航速,zh-CN
Packrafting equipment,背包船装备,zh-CN
Personal protective equipment,个人防护装备,zh-CN
PFD,救生衣,zh-CN
Life vest,救生衣,zh-CN
Helmet,头盔,zh-CN
Drysuit,干衣,zh-CN
Seat,座椅,zh-CN
Backband,靠背带,zh-CN
Foot brace,脚撑,zh-CN
Foot block,脚挡块,zh-CN
Thigh straps,大腿绑带,zh-CN
Perimeter line,船体周边绳,zh-CN
Tail line,尾绳,zh-CN
Grab loop,抓环,zh-CN
Cargo zipper,货舱拉链,zh-CN
Inflation bag,充气袋,zh-CN
Deck bag,甲板包,zh-CN
Paddle,桨,zh-CN
Blade,桨叶,zh-CN
Shaft,桨杆,zh-CN
Ferrule,桨杆接头,zh-CN
Feather angle,桨叶错位角,zh-CN
Paddle leash,桨系绳,zh-CN
Cargo,装载物,zh-CN
Tie-down,系固点,zh-CN
Attachment point,连接点,zh-CN
Attachment plate,连接片,zh-CN
Accessory strap,附件绑带,zh-CN
Ski strap,滑雪绑带,zh-CN
Voile strap,Voile 绑带,zh-CN
Bikerafting,骑行与背包船结合旅行,zh-CN
Quick-release rigging,快拆式系固,zh-CN
Tether,系固绳,zh-CN
Outfitting,背包船适配,zh-CN
Rigging,装载与系固,zh-CN
Clean rigging,无缠挂隐患的系固,zh-CN
Proper paddling position,正确划行姿势,zh-CN
Boat control,背包船操控,zh-CN
Ferry,横渡,zh-CN
Ferry angle,横渡角,zh-CN
Front ferry,正向横渡,zh-CN
Back ferry,反向横渡,zh-CN
Eddy out,进回水,zh-CN
Peel out,出回水,zh-CN
Eddy hopping,逐个回水区推进,zh-CN
Line,通过路线,zh-CN
Scouting,侦察,zh-CN
Boat scouting,船上侦察,zh-CN
Shore scouting,岸上侦察,zh-CN
Read-and-run,即视即划,zh-CN
River-running,河流划行,zh-CN
Boof,Boof,zh-CN
Boof stroke,Boof 划水动作,zh-CN
Edging,侧倾控制,zh-CN
J-lean,J 形侧倾,zh-CN
Brace,支撑划,zh-CN
Low brace,低位支撑,zh-CN
High brace,高位支撑,zh-CN
Sculling draw,八字形拉划,zh-CN
Draw stroke,拉划,zh-CN
Forward stroke,前划,zh-CN
Back stroke,倒划,zh-CN
Sweep stroke,扫划,zh-CN
Side draw,侧向拉划,zh-CN
Bow draw,船头拉划,zh-CN
Stern draw,船尾拉划,zh-CN
Power stroke,发力划,zh-CN
Power face,桨叶工作面,zh-CN
Active blade,工作桨叶,zh-CN
Paddle strokes,划桨动作,zh-CN
Paddle dexterity,控桨熟练度,zh-CN
Power on,主动发力,zh-CN
Power off,停止发力,zh-CN
Hip snap,髋部弹转,zh-CN
Lead with your head,头部带动转向,zh-CN
Capsize,翻船,zh-CN
Packraft roll,背包船滚翻复位,zh-CN
Combat roll,急流中滚翻复位,zh-CN
Wet exit,水中离船,zh-CN
Dry exit,干式离船,zh-CN
Re-entry,重新登船,zh-CN
Wet re-entry,水中重新登船,zh-CN
Horizontal re-entry,水平姿势重新登船,zh-CN
Vertical re-entry,垂直姿势重新登船,zh-CN
Seal launch,海豹式下滑入水,zh-CN
Put-in,下水点,zh-CN
Take-out,上岸点,zh-CN
Portage,搬船绕行,zh-CN
Portaging,搬船绕行,zh-CN
Open-water crossing,开阔水域横渡,zh-CN
River right,河流右岸,zh-CN
River left,河流左岸,zh-CN
Looker's right,观察者右侧,zh-CN
Looker's left,观察者左侧,zh-CN
Surfing,冲浪,zh-CN
Front surfing,正向冲浪,zh-CN
Side surfing,侧向冲浪,zh-CN
Back surfing,背向冲浪,zh-CN
T-boning,T-boning（T 形切入）,zh-CN
Kick,Kick（侧向推流）,zh-CN
Starfishing,海星式压船,zh-CN
Crutches,双拐式推进,zh-CN
Walking the dog,遛船,zh-CN
Bow bumping,船头碰推,zh-CN
Outrigger,外伸支撑,zh-CN
Lily-dipping,蜻蜓点水式划桨,zh-CN
Current,水流,zh-CN
Flow,水流,zh-CN
Whitewater,白水,zh-CN
Flatwater,静水,zh-CN
Hydrology,水文学,zh-CN
River character,河流总体特征,zh-CN
River feature,河道特征,zh-CN
Substrate,河床底质,zh-CN
Morphology,河道形态,zh-CN
Bedrock,基岩,zh-CN
Sediment,沉积物,zh-CN
Alluvium,冲积物,zh-CN
Gradient,河段比降,zh-CN
Discharge,流量,zh-CN
Stage,水位,zh-CN
