source,target,tgt_lng
Database,数据库,zh-CN
Cache,缓存,zh-CN
Debug,调试,zh-CN
Framework,框架,zh-CN
Repository,代码仓库,zh-CN
Middleware,中间件,zh-CN
Protocol,协议,zh-CN
Query,查询,zh-CN
Response,响应,zh-CN
Request,请求,zh-CN
Session,会话,zh-CN
Variable,变量,zh-CN
Class,类,zh-CN
Object,对象,zh-CN
Method,方法,zh-CN
Property,属性,zh-CN
Parameter,参数,zh-CN
Exception,异常,zh-CN
Console,控制台,zh-CN
Terminal,终端,zh-CN
Script,脚本,zh-CN
Module,模块,zh-CN
Package,包,zh-CN
Dependency,依赖,zh-CN
Release,发布,zh-CN
Build,构建,zh-CN
Deploy,部署,zh-CN
Config,配置,zh-CN
Setting,设置,zh-CN
Plugin,插件,zh-CN
Extension,扩展,zh-CN
Layout,布局,zh-CN
Component,组件,zh-CN
Widget,小部件,zh-CN
Template,模板,zh-CN
Encode,编码,zh-CN
Decode,解码,zh-CN
Parse,解析,zh-CN
Render,渲染,zh-CN
Compile,编译,zh-CN
Encryption,加密,zh-CN
Decryption,解密,zh-CN
Authentication,认证,zh-CN
Authorization,授权,zh-CN
Permission,权限,zh-CN
Context,语境,zh-CN
Distributed,分布式,zh-CN
Implementation,实现,zh-CN
Interface,接口,zh-CN
Performance,性能,zh-CN
Proxy,代理,zh-CN
Software,软件,zh-CN
Protocol,协议,zh-CN
Internet,互联网,zh-CN
Network,网络,zh-CN
Address,地址,zh-CN
Platform,平台,zh-CN
System,系统,zh-CN
Quality,质量,zh-CN
Memory,内存,zh-CN
Agent,代理,zh-CN
Argument,参数,zh-CN
Array,数组,zh-CN
Bit,位,zh-CN
Boolean,布尔,zh-CN
Byte,字节,zh-CN
Comment,注释,zh-CN
Concatenate,拼接,zh-CN
Declare,声明,zh-CN
Identifier,标识符,zh-CN
Initialize,初始化,zh-CN
Instance,实例,zh-CN
Iteration,迭代,zh-CN
Library,库,zh-CN
Operator,运算符,zh-CN
Operant,操作数,zh-CN
Repository,仓库,zh-CN
Return,返回,zh-CN
Selector,选择器,zh-CN
Statement,语句,zh-CN
String,字符串,zh-CN
Syntax,语法,zh-CN
Type,类型,zh-CN
User,用户,zh-CN
Domain,域名,zh-CN
Cache,缓存,zh-CN
Packet,数据包,zh-CN
Port,端口,zh-CN
Parallel,并行,zh-CN
Real-time,实时,zh-CN
Search,搜索,zh-CN
Password,密码,zh-CN
Path,路径,zh-CN
Matrix,矩阵,zh-CN
Recognition,识别,zh-CN
Payload,载荷,zh-CN
Period,周期,zh-CN
Permission,权限,zh-CN
Pipeline,管道,zh-CN
Polling,轮询,zh-CN
Postfix,后缀,zh-CN
Prefix,前缀,zh-CN
Bus,总线,zh-CN
Procedure,过程,zh-CN
Process,进程,zh-CN
Queue,队列,zh-CN
Stack,栈,zh-CN
Window,窗口,zh-CN
Uninstall,卸载,zh-CN
Firmware,固件,zh-CN
Screen,屏幕,zh-CN
Disk,磁盘,zh-CN
Community,社区,zh-CN
Data,数据,zh-CN
Optimization,优化,zh-CN
Activation,激活,zh-CN
Bandwidth,带宽,zh-CN
Default,默认,zh-CN
Debug,调试,zh-CN
Icon,图标,zh-CN
Link,链接,zh-CN
Login,登录,zh-CN
Logout,注销,zh-CN
Media,媒体,zh-CN
Match,匹配,zh-CN
Message,消息,zh-CN
Print,打印,zh-CN
Online,在线,zh-CN
Resolution,分辨率,zh-CN
Rollback,回滚,zh-CN
Sensor,传感器,zh-CN
Save,保存,zh-CN
Weighted,加权,zh-CN
File,文件,zh-CN
Interact,交互,zh-CN
Remote,远程,zh-CN
Scroll,滚动,zh-CN
Update,更新,zh-CN
Audio,音频,zh-CN
Loss,丢失,zh-CN
Mask,掩码,zh-CN
