source,target,tgt_lng
affective empathy,情感同理心,zh-TW
alexithymia,述情障礙,zh-TW
Aspie Supremacy,亞斯至上主義,zh-TW
autism,孤獨譜系,zh-TW
autistic,孤獨譜系,zh-TW
autism spectrum disorder,孤獨譜系障礙,zh-TW
autism prevalence,孤獨譜系障礙發生率,zh-TW
autistic adults,孤獨譜系成年人,zh-TW
autistic community,孤獨譜系社群,zh-TW
autistic people,孤獨譜系群體,zh-TW
burnout,耗竭,zh-TW
camouflage,掩飾,zh-TW
cognitive empathy,認知同理心,zh-TW
crip theory,酷殘理論,zh-TW
disability,殘障,zh-TW
disorder,病症,zh-TW
double empathy,雙向同理心,zh-TW
double empathy problem,雙向同理心困境,zh-TW
individual with ADHD,ADHD個體,zh-TW
individuals with ADHD,ADHD個體,zh-TW
interoception,内感覺,zh-TW
masking,僞裝,zh-TW
ND movement,神經多樣性運動,zh-TW
neurodivergence,神經殊異性,zh-TW
neurodivergent,神經殊異,zh-TW
neurodiverse,神經多元,zh-TW
neurodiversity,神經多樣性,zh-TW
neurodiversity lite,庸俗版神經多樣性,zh-TW
neurodiversity-lite,庸俗版神經多樣性,zh-TW
neuronormativity,神經規范性,zh-CN
neurotypical,神經典型,zh-TW
one with Asperger's Syndrome,亞斯伯格綜合徵個體,zh-TW
people with ADHD,ADHD群體,zh-TW
people with ASD,ASD群體,zh-TW
people with autism,孤獨譜系群體,zh-TW
person with autism spectrum disorder,孤獨譜系障礙群體,zh-TW
somebody with autism spectrum disorder,孤獨譜系障礙個體,zh-TW
