source,target,tgt_lng
Genshin Impact,原神,zh-CN
RPG,角色扮演游戏,zh-CN
gacha,抽卡,zh-CN
open world,开放世界,zh-CN
Wish,祈愿,zh-CN
Indefinite,常驻,zh-CN
Event,活动,zh-CN
Miliastra Wonderland,千星奇域,zh-CN
Stygian Onslaught,幽境危战,zh-CN
Imaginarium Theater,幻想真境剧诗,zh-CN
Spiral Abyss,深渊螺旋,zh-CN
Abyssal Moon Spire,渊月螺旋,zh-CN
Teyvat,提瓦特,zh-CN
Domain,秘境,zh-CN
Expedition,探索派遣,zh-CN
Genius Invokation TCG,七圣召唤,zh-CN
Ley Line,地脉,zh-CN
Repertoire of Myriad Melodies,千音雅集,zh-CN
Statue of The Seven,七天神像,zh-CN
Teleport Waypoint,传送锚点,zh-CN
Shrine of Depths,地灵龛,zh-CN
Oculus,神瞳,zh-CN
Oculi,神瞳,zh-CN
Crimson Agate,绯红玉髓,zh-CN
Lumenspar,流明石,zh-CN
Spirit Carp,苍灵鲤,zh-CN
Quest,任务,zh-CN
Archon Quest,魔神任务,zh-CN
Story Quest,传说任务,zh-CN
Hangout Event,邀约事件,zh-CN
Tribal Chronicles,部族纪闻,zh-CN
Commission,委托,zh-CN
Anecdote,逸闻,zh-CN
Progression,养成,zh-CN
Reputation,声望,zh-CN
Friendship Level,好感度,zh-CN
Offering System,供奉系统,zh-CN
Serenitea Pot,尘歌壶,zh-CN
Catalyst,法器,zh-CN
Claymore,双手剑,zh-CN
Polearm,长柄武器,zh-CN
Sword,单手剑,zh-CN
Original Resin,原粹树脂,zh-CN
Artifact,圣遗物,zh-CN
Character Development Item,角色养成材料,zh-CN
Gadget,道具,zh-CN
Furnishing,家具,zh-CN
Damage,伤害,zh-CN
Constellation,命之座,zh-CN
Co-Op Mode,联机模式,zh-CN
Common Enemy,普通敌人,zh-CN
Elite Enemy,精英敌人,zh-CN
Boss Enemy,首领敌人,zh-CN
Normal Boss,普通首领,zh-CN
Weekly Boss,周本首领,zh-CN
Blessing of the Welkin Moon,空月祝福,zh-CN
Primogem,原石,zh-CN
Genesis Crystal,创世结晶,zh-CN
Character Outfit,角色服饰,zh-CN
Monetization,货币,zh-CN
Intertwined Fate,纠缠之缘,zh-CN
Acquaint Fate,相遇之缘,zh-CN
Masterless Starglitter,无主的星辉,zh-CN
Masterless Stardust,无主的星尘,zh-CN
Beginners' Wish,新手祈愿,zh-CN
Leveling,升级,zh-CN
Ascension,突破,zh-CN
Masterless Stella Fortuna,无主的命星,zh-CN
Mora,摩拉,zh-CN
Talent,天赋,zh-CN
Character EXP,角色经验,zh-CN
Hero's Wit,大英雄的经验,zh-CN
Adventurer's Experience,冒险家的经验,zh-CN
Wanderer's Advice,流浪者的经验,zh-CN
Talent Book,天赋书,zh-CN
Crown of Insight,智识之冕,zh-CN
Ascension Gem,突破石,zh-CN
Playable Character,自机角色,zh-CN
Aino,爱诺,zh-CN
Albedo,阿贝多,zh-CN
Alhaitham,艾尔海森,zh-CN
Aloy,艾洛伊,zh-CN
Amber,安柏,zh-CN
Arataki Itto,荒泷一斗,zh-CN
Arlecchino,阿蕾奇诺,zh-CN
Baizhu,白术,zh-CN
Barbara,芭芭拉,zh-CN
Beidou,北斗,zh-CN
Bennett,班尼特,zh-CN
Candace,坎蒂丝,zh-CN
Charlotte,夏洛蒂,zh-CN
Chasca,恰斯卡,zh-CN
Chevreuse,夏沃蕾丝,zh-CN
Chiori,千织,zh-CN
Chongyun,重云,zh-CN
Citlali,茜特菈莉,zh-CN
Clorinde,克洛琳德,zh-CN
Collei,柯莱,zh-CN
Columbina,哥伦比娅,zh-CN
Cyno,赛诺,zh-CN
Dahlia,塔利雅,zh-CN
Dehya,迪希雅,zh-CN
Diluc,迪卢克,zh-CN
Diona,迪奥娜,zh-CN
Dori,多莉,zh-CN
Durin,杜林,zh-CN
Emilie,艾梅莉埃,zh-CN
Escoffier,爱可菲,zh-CN
Eula,优菈,zh-CN
Faruzan,珐露珊,zh-CN
Fischl,菲谢尔,zh-CN
Flins,菲林斯,zh-CN
Freminet,菲米尼,zh-CN
Furina,芙宁娜,zh-CN
Gaming,嘉明,zh-CN
Ganyu,甘雨,zh-CN
Gorou,五郎,zh-CN
Hu Tao,胡桃,zh-CN
Iansan,伊安珊,zh-CN
Ifa,伊法,zh-CN
Illuga,叶洛亚,zh-CN
Ineffa,伊涅芙,zh-CN
Jahoda,雅柯达,zh-CN
Jean,琴,zh-CN
Kachina,卡齐娜,zh-CN
Kaedehara Kazuha,枫原万叶,zh-CN
Kaeya,凯亚,zh-CN
Kamisato Ayaka,神里绫华,zh-CN
Kamisato Ayato,神里绫人,zh-CN
Kaveh,卡维,zh-CN
Keqing,刻晴,zh-CN
Kinich,基尼奇,zh-CN
Kirara,琦良良,zh-CN
Klee,可莉,zh-CN
Kujou Sara,九条裟罗,zh-CN
Kuki Shinobu,久岐忍,zh-CN
Lan Yan,蓝砚,zh-CN
Layla,莱依拉,zh-CN
Lauma,菈乌玛,zh-CN
Linnea,莉奈娅,zh-CN
Lisa,丽莎,zh-CN
Lohen,洛恩,zh-CN
Lynette,琳妮特,zh-CN
Lyney,林尼,zh-CN
Mavuika,玛威卡,zh-CN
Mika,米卡,zh-CN
Mona,莫娜,zh-CN
Mualani,玛拉妮,zh-CN
Nahida,纳西妲,zh-CN
Navia,娜维娅,zh-CN
Nefer,奈芙尔,zh-CN
Neuvillette,那维莱特,zh-CN
Nicole,尼可,zh-CN
Nilou,妮露,zh-CN
Ningguang,凝光,zh-CN
Noelle,诺艾尔,zh-CN
Ororon,欧洛伦,zh-CN
Prune,布伦妮,zh-CN
Qiqi,七七,zh-CN
Raiden Shogun,雷电将军,zh-CN
Razor,雷泽,zh-CN
Rosaria,罗莎莉亚,zh-CN
Sandrone,桑多涅,zh-CN
Sangonomiya Kokomi,珊瑚宫心海,zh-CN
Sayu,早柚,zh-CN
Sethos,赛索斯,zh-CN
Shenhe,申鹤,zh-CN
Shikanoin Heizou,鹿野院平藏,zh-CN
Sigewinne,希格雯,zh-CN
Skirk,丝柯克,zh-CN
Sucrose,砂糖,zh-CN
Tartaglia,达达利亚,zh-CN
Thoma,托马,zh-CN
Tighnari,提纳里,zh-CN
Varesa,瓦雷莎,zh-CN
Varka,法尔伽,zh-CN
Venti,温迪,zh-CN
Wanderer,流浪者,zh-CN
