source,target,tgt_lng
information technology,信息技术,zh-CN
computer science,计算机科学,zh-CN
computer engineering,计算机工程,zh-CN
software engineering,软件工程,zh-CN
systems engineering,系统工程,zh-CN
digital media technology,数字媒体技术,zh-CN
computer hardware,计算机硬件,zh-CN
computer software,计算机软件,zh-CN
system software,系统软件,zh-CN
application software,应用软件,zh-CN
device driver,设备驱动程序,zh-CN
kernel space,内核空间,zh-CN
user space,用户空间,zh-CN
system call,系统调用,zh-CN
process scheduler,进程调度器,zh-CN
process isolation,进程隔离,zh-CN
memory management,内存管理,zh-CN
virtual memory,虚拟内存,zh-CN
memory paging,内存分页,zh-CN
swap space,交换空间,zh-CN
memory-mapped file,内存映射文件,zh-CN
shared memory,共享内存,zh-CN
memory leak,内存泄漏,zh-CN
buffer overflow,缓冲区溢出,zh-CN
stack overflow,栈溢出,zh-CN
heap allocation,堆内存分配,zh-CN
garbage collection,垃圾回收,zh-CN
reference counting,引用计数,zh-CN
automatic memory management,自动内存管理,zh-CN
race condition,竞态条件,zh-CN
software deadlock,死锁,zh-CN
mutual exclusion,互斥,zh-CN
programming semaphore,信号量,zh-CN
thread synchronization,线程同步,zh-CN
asynchronous programming,异步编程,zh-CN
concurrent programming,并发编程,zh-CN
parallel computing,并行计算,zh-CN
distributed computing,分布式计算,zh-CN
high-performance computing,高性能计算,zh-CN
real-time computing,实时计算,zh-CN
edge computing,边缘计算,zh-CN
fog computing,雾计算,zh-CN
client-server architecture,客户端—服务器架构,zh-CN
peer-to-peer architecture,点对点架构,zh-CN
microservices architecture,微服务架构,zh-CN
service-oriented architecture,面向服务的架构,zh-CN
event-driven architecture,事件驱动架构,zh-CN
serverless computing,无服务器计算,zh-CN
monolithic architecture,单体架构,zh-CN
three-tier architecture,三层架构,zh-CN
hardware abstraction layer,硬件抽象层,zh-CN
instruction set architecture,指令集架构,zh-CN
x86-64 architecture,x86-64 架构,zh-CN
Arm architecture,Arm 架构,zh-CN
RISC-V architecture,RISC-V 架构,zh-CN
reduced instruction set computer,精简指令集计算机,zh-CN
complex instruction set computer,复杂指令集计算机,zh-CN
central processing unit,中央处理器,zh-CN
graphics processing unit,图形处理器,zh-CN
neural processing unit,神经网络处理器,zh-CN
tensor processing unit,张量处理单元,zh-CN
digital signal processor,数字信号处理器,zh-CN
field-programmable gate array,现场可编程门阵列,zh-CN
application-specific integrated circuit,专用集成电路,zh-CN
system on a chip,片上系统,zh-CN
chiplet architecture,小芯片架构,zh-CN
die-to-die interconnect,裸片间互连,zh-CN
semiconductor fabrication,半导体制造,zh-CN
process node,制程节点,zh-CN
transistor density,晶体管密度,zh-CN
gate-all-around transistor,全环绕栅极晶体管,zh-CN
FinFET transistor,鳍式场效应晶体管,zh-CN
extreme ultraviolet lithography,极紫外光刻,zh-CN
clock frequency,时钟频率,zh-CN
base clock,基础时钟,zh-CN
boost clock,加速时钟,zh-CN
thermal throttling,过热降频,zh-CN
thermal design power,热设计功耗,zh-CN
processor core,处理器核心,zh-CN
hardware thread,硬件线程,zh-CN
simultaneous multithreading,同时多线程,zh-CN
out-of-order execution,乱序执行,zh-CN
speculative execution,推测执行,zh-CN
branch prediction,分支预测,zh-CN
instruction pipeline,指令流水线,zh-CN
vector instruction,向量指令,zh-CN
single instruction multiple data,单指令多数据,zh-CN
floating-point unit,浮点运算单元,zh-CN
integer arithmetic unit,整数运算单元,zh-CN
cache hierarchy,高速缓存层级,zh-CN
L1 cache,一级高速缓存,zh-CN
L2 cache,二级高速缓存,zh-CN
L3 cache,三级高速缓存,zh-CN
cache coherence,缓存一致性,zh-CN
cache miss,缓存未命中,zh-CN
memory bandwidth,内存带宽,zh-CN
memory latency,内存延迟,zh-CN
random-access memory,随机存取存储器,zh-CN
dynamic random-access memory,动态随机存取存储器,zh-CN
static random-access memory,静态随机存取存储器,zh-CN
video memory,显存,zh-CN
unified memory,统一内存,zh-CN
unified memory architecture,统一内存架构,zh-CN
high-bandwidth memory,高带宽内存,zh-CN
double data rate memory,双倍数据速率内存,zh-CN
error-correcting code memory,ECC内存,zh-CN
memory channel,内存通道,zh-CN
dual-channel memory,双通道内存,zh-CN
non-uniform memory access,非统一内存访问,zh-CN
direct memory access,直接内存访问,zh-CN
remote direct memory access,远程直接内存访问,zh-CN
memory controller,内存控制器,zh-CN
motherboard chipset,主板芯片组,zh-CN
basic input/output system,基本输入输出系统,zh-CN
Unified Extensible Firmware Interface,统一可扩展固件接口,zh-CN
secure boot,安全启动,zh-CN
trusted platform module,可信平台模块,zh-CN
hardware root of trust,硬件信任根,zh-CN
peripheral component interconnect express,高速串行计算机扩展总线,zh-CN
PCIe lane,PCIe 通道,zh-CN
PCIe bifurcation,PCIe 通道拆分,zh-CN
Compute Express Link,计算快速互连,zh-CN
Universal Serial Bus,通用串行总线,zh-CN
USB4 Version 2.0,USB4 2.0 规范,zh-CN
USB Power Delivery,USB 供电协议,zh-CN
USB Type-C,USB Type-C 接口,zh-CN
Thunderbolt 4,雷雳 4,zh-CN
Thunderbolt 5,雷雳 5,zh-CN
High-Definition Multimedia Interface,高清多媒体接口,zh-CN
HDMI 2.1,HDMI 2.1 规范,zh-CN
DisplayPort 2.1,DisplayPort 2.1 规范,zh-CN
embedded DisplayPort,嵌入式 DisplayPort,zh-CN
Video Electronics Standards Association,视频电子标准协会,zh-CN
Display Stream Compression,显示流压缩,zh-CN
variable refresh rate,可变刷新率,zh-CN
adaptive synchronization,自适应同步,zh-CN
refresh rate,刷新率,zh-CN
pixel response time,像素响应时间,zh-CN
input latency,输入延迟,zh-CN
liquid-crystal display,液晶显示器,zh-CN
organic light-emitting diode,有机发光二极管,zh-CN
quantum-dot OLED,量子点 OLED,zh-CN
mini-LED backlight,Mini LED 背光,zh-CN
microLED display,MicroLED 显示屏,zh-CN
in-plane switching,平面转换面板,zh-CN
vertical alignment panel,垂直排列面板,zh-CN
local dimming,局部调光,zh-CN
full-array local dimming,全阵列局部调光,zh-CN
peak screen brightness,屏幕峰值亮度,zh-CN
sustained screen brightness,屏幕持续亮度,zh-CN
color volume,色彩体积,zh-CN
pixel density,像素密度,zh-CN
native resolution,原生分辨率,zh-CN
retina display,视网膜显示屏,zh-CN
storage device,存储设备,zh-CN
hard disk drive,机械硬盘,zh-CN
non-volatile memory express,NVMe存储协议,zh-CN
NAND flash memory,NAND 闪存,zh-CN
single-level cell,单层单元闪存,zh-CN
multi-level cell,多层单元闪存,zh-CN
triple-level cell,三层单元闪存,zh-CN
quad-level cell,四层单元闪存,zh-CN
3D NAND,3D NAND 闪存,zh-CN
wear leveling,损耗均衡,zh-CN
write amplification,写入放大,zh-CN
trim command,TRIM 擦除提示命令,zh-CN
storage endurance,存储设备耐久度,zh-CN
terabytes written,总写入量,zh-CN
drive writes per day,每日全盘写入次数,zh-CN
sequential read speed,顺序读取速度,zh-CN
sequential write speed,顺序写入速度,zh-CN
random read performance,随机读取性能,zh-CN
random write performance,随机写入性能,zh-CN
input/output operations per second,每秒输入输出操作次数,zh-CN
storage queue depth,存储队列深度,zh-CN
storage controller,存储控制器,zh-CN
redundant array of independent disks,独立磁盘冗余阵列,zh-CN
RAID 0,RAID 0 条带阵列,zh-CN
RAID 1,RAID 1 镜像阵列,zh-CN
RAID 5,RAID 5 单校验分布式阵列,zh-CN
RAID 6,RAID 6 双校验分布式阵列,zh-CN
RAID 10,RAID 10 镜像条带阵列,zh-CN
disk striping,磁盘条带化,zh-CN
disk mirroring,磁盘镜像,zh-CN
parity data,校验数据,zh-CN
hot spare drive,热备盘,zh-CN
storage pool,存储池,zh-CN
storage tiering,存储分层,zh-CN
block storage,块存储,zh-CN
file storage,文件存储,zh-CN
object storage,对象存储,zh-CN
network-attached storage,网络附加存储,zh-CN
storage area network,存储区域网络,zh-CN
direct-attached storage,直连存储,zh-CN
cold storage,冷存储,zh-CN
archive storage,归档存储,zh-CN
content-addressable storage,内容寻址存储,zh-CN
data deduplication,数据去重,zh-CN
lossless data compression,无损数据压缩,zh-CN
data integrity check,数据完整性校验,zh-CN
cryptographic hash,密码学哈希,zh-CN
cyclic redundancy check,循环冗余校验,zh-CN
bit rot,位衰减,zh-CN
silent data corruption,静默数据损坏,zh-CN
backup strategy,备份策略,zh-CN
incremental backup,增量备份,zh-CN
differential backup,差异备份,zh-CN
full backup,完整备份,zh-CN
snapshot backup,快照备份,zh-CN
off-site backup,异地备份,zh-CN
immutable backup,不可变备份,zh-CN
air-gapped backup,物理隔离备份,zh-CN
3-2-1 backup rule,3-2-1 备份原则,zh-CN
recovery point objective,恢复点目标,zh-CN
recovery time objective,恢复时间目标,zh-CN
disaster recovery,灾难恢复,zh-CN
business continuity,业务连续性,zh-CN
file system,文件系统,zh-CN
New Technology File System,新技术文件系统,zh-CN
extended file system 4,第四代扩展文件系统,zh-CN
Zettabyte File System,ZFS 文件系统,zh-CN
B-tree file system,Btrfs 文件系统,zh-CN
exFAT file system,exFAT 文件系统,zh-CN
file metadata,文件元数据,zh-CN
extended attributes,扩展属性,zh-CN
access control list,访问控制列表,zh-CN
file permissions,文件权限,zh-CN
symbolic link,符号链接,zh-CN
hard link,硬链接,zh-CN
directory structure,目录结构,zh-CN
file path,文件路径,zh-CN
absolute path,绝对路径,zh-CN
relative path,相对路径,zh-CN
mount point,挂载点,zh-CN
disk image,磁盘映像,zh-CN
container format,容器格式,zh-CN
archive format,归档格式,zh-CN
ZIP archive,ZIP 压缩包,zh-CN
TAR archive,TAR 归档包,zh-CN
7z archive,7z 压缩包,zh-CN
Rosetta 2,Rosetta 2 指令转换环境,zh-CN
Windows Subsystem for Linux,适用于 Linux 的 Windows 子系统,zh-CN
type-1 hypervisor,裸机型虚拟机监控程序,zh-CN
type-2 hypervisor,宿主型虚拟机监控程序,zh-CN
hardware virtualization,硬件虚拟化,zh-CN
container virtualization,容器虚拟化,zh-CN
container image,容器镜像,zh-CN
container runtime,容器运行时,zh-CN
container registry,容器镜像仓库,zh-CN
orchestration platform,编排平台,zh-CN
Kubernetes cluster,Kubernetes 集群,zh-CN
Kubernetes control plane,Kubernetes 控制平面,zh-CN
Helm chart,Helm 应用包,zh-CN
virtual private cloud,虚拟私有云,zh-CN
cloud availability zone,云可用区,zh-CN
cloud region,云区域,zh-CN
autoscaling group,自动伸缩组,zh-CN
load balancer,负载均衡器,zh-CN
reverse proxy,反向代理,zh-CN
forward proxy,正向代理,zh-CN
content delivery network,内容分发网络,zh-CN
origin server,源站服务器,zh-CN
cache hit ratio,缓存命中率,zh-CN
cache invalidation,缓存失效,zh-CN
time to live,生存时间,zh-CN
network protocol,网络协议,zh-CN
protocol stack,协议栈,zh-CN
Open Systems Interconnection model,开放系统互连模型,zh-CN
Transmission Control Protocol,传输控制协议,zh-CN
User Datagram Protocol,用户数据报协议,zh-CN
Internet Protocol,网际协议,zh-CN
Internet Protocol version 4,互联网协议第四版,zh-CN
Internet Protocol version 6,互联网协议第六版,zh-CN
Internet Control Message Protocol,互联网控制消息协议,zh-CN
Address Resolution Protocol,地址解析协议,zh-CN
Dynamic Host Configuration Protocol,动态主机配置协议,zh-CN
Domain Name System,域名系统,zh-CN
DNS over HTTPS,基于 HTTPS 的 DNS,zh-CN
DNS over TLS,基于 TLS 的 DNS,zh-CN
Hypertext Transfer Protocol,超文本传输协议,zh-CN
HTTP/2,HTTP/2 协议,zh-CN
HTTP/3,HTTP/3 协议,zh-CN
QUIC transport protocol,QUIC 传输协议,zh-CN
Transport Layer Security,传输层安全协议,zh-CN
TLS 1.3,TLS 1.3 协议,zh-CN
Secure Shell,安全外壳协议,zh-CN
File Transfer Protocol,文件传输协议,zh-CN
Server Message Block,服务器消息块协议,zh-CN
Network File System,网络文件系统协议,zh-CN
Simple Network Management Protocol,简单网络管理协议,zh-CN
Network Time Protocol,网络时间协议,zh-CN
Precision Time Protocol,精确时间协议,zh-CN
WebSocket protocol,WebSocket 双向通信协议,zh-CN
Web Real-Time Communication,Web 实时通信技术,zh-CN
real-time transport protocol,实时传输协议,zh-CN
secure real-time transport protocol,安全实时传输协议,zh-CN
Session Initiation Protocol,会话初始协议,zh-CN
MQTT messaging protocol,MQTT 消息协议,zh-CN
Advanced Message Queuing Protocol,高级消息队列协议,zh-CN
network packet,网络数据包,zh-CN
packet loss,丢包,zh-CN
round-trip time,往返时延,zh-CN
network jitter,网络抖动,zh-CN
network throughput,网络吞吐量,zh-CN
network bandwidth,网络带宽,zh-CN
network latency,网络延迟,zh-CN
bandwidth throttling,带宽限速,zh-CN
quality of service,服务质量,zh-CN
traffic shaping,流量整形,zh-CN
congestion control,拥塞控制,zh-CN
forward error correction,前向纠错,zh-CN
maximum transmission unit,最大传输单元,zh-CN
jumbo frame,巨型帧,zh-CN
network address translation,网络地址转换,zh-CN
carrier-grade NAT,运营商级 NAT,zh-CN
port forwarding,端口转发,zh-CN
virtual private network,虚拟专用网络,zh-CN
software-defined networking,软件定义网络,zh-CN
software-defined wide area network,软件定义广域网,zh-CN
local area network,局域网,zh-CN
wide area network,广域网,zh-CN
wireless local area network,无线局域网,zh-CN
Gigabit Ethernet,千兆以太网,zh-CN
10 Gigabit Ethernet,万兆以太网,zh-CN
100 Gigabit Ethernet,百吉比特以太网,zh-CN
Wi-Fi 6E,Wi-Fi 6E 无线网络,zh-CN
Wi-Fi 7,Wi-Fi 7 无线网络,zh-CN
IEEE 802.11,IEEE 802.11 无线局域网标准,zh-CN
IEEE 802.3,IEEE 802.3 以太网标准,zh-CN
Bluetooth Low Energy,蓝牙低功耗,zh-CN
Bluetooth LE Audio,蓝牙低功耗音频,zh-CN
Near Field Communication,近场通信,zh-CN
ultra-wideband radio,超宽带无线技术,zh-CN
cellular network,蜂窝移动网络,zh-CN
5G New Radio,5G 新空口,zh-CN
network slicing,网络切片,zh-CN
massive MIMO,大规模多输入多输出,zh-CN
wireless beamforming,无线波束赋形,zh-CN
satellite internet,卫星互联网,zh-CN
low Earth orbit satellite,低地球轨道卫星,zh-CN
application programming interface,应用程序编程接口,zh-CN
Representational State Transfer,表述性状态转移,zh-CN
RESTful API,RESTful 应用程序接口,zh-CN
remote procedure call,远程过程调用,zh-CN
software development kit,软件开发工具包,zh-CN
command-line interface,命令行界面,zh-CN
graphical user interface,图形用户界面,zh-CN
terminal emulator,终端模拟器,zh-CN
integrated development environment,集成开发环境,zh-CN
source code,源代码,zh-CN
machine code,机器码,zh-CN
programming language interpreter,解释器,zh-CN
assembly-language assembler,汇编器,zh-CN
software profiler,性能分析器,zh-CN
build system,构建系统,zh-CN
package manager,软件包管理器,zh-CN
dependency management,依赖管理,zh-CN
semantic versioning,语义化版本规范,zh-CN
application binary interface,应用程序二进制接口,zh-CN
binary compatibility,二进制兼容性,zh-CN
backward compatibility,向后兼容性,zh-CN
forward compatibility,向前兼容性,zh-CN
software patch,软件补丁,zh-CN
security update,安全更新,zh-CN
release candidate,候选发布版,zh-CN
long-term support release,长期支持版本,zh-CN
open-source software,开源软件,zh-CN
proprietary software,专有软件,zh-CN
free and open-source software,自由与开源软件,zh-CN
software license,软件许可证,zh-CN
GNU General Public License,GNU 通用公共许可证,zh-CN
MIT License,MIT 许可证,zh-CN
software repository,软件仓库,zh-CN
version control system,版本控制系统,zh-CN
distributed version control,分布式版本控制,zh-CN
Git repository,Git 代码仓库,zh-CN
Git commit,Git 提交,zh-CN
Git branch,Git 分支,zh-CN
Git merge,Git 合并,zh-CN
Git rebase,Git 变基,zh-CN
Git pull request,Git 拉取请求,zh-CN
Git conflict,Git 冲突,zh-CN
Git working tree,Git 工作树,zh-CN
continuous integration,持续集成,zh-CN
continuous delivery,持续交付,zh-CN
continuous deployment,持续部署,zh-CN
CI/CD pipeline,持续集成与持续交付流水线,zh-CN
unit test,单元测试,zh-CN
integration test,集成测试,zh-CN
end-to-end test,端到端测试,zh-CN
regression test,回归测试,zh-CN
acceptance test,验收测试,zh-CN
test coverage,测试覆盖率,zh-CN
