source,target,tgt_lng
music production,音乐制作,zh-CN
record producer,唱片制作人,zh-CN
music producer,音乐制作人,zh-CN
recording engineer,录音师,zh-CN
mix engineer,混音师,zh-CN
mastering engineer,母带工程师,zh-CN
studio musician,录音棚乐手,zh-CN
songwriter,词曲作者,zh-CN
music composer,作曲家,zh-CN
music arranger,编曲者,zh-CN
music orchestrator,配器师,zh-CN
music editor,音乐编辑师,zh-CN
music supervisor,音乐监督,zh-CN
music contractor,乐手统筹,zh-CN
vocal producer,人声制作人,zh-CN
beatmaker,节拍制作人,zh-CN
topliner,旋律与歌词作者,zh-CN
remixer,重混音制作人,zh-CN
DJ producer,DJ 制作人,zh-CN
music pre-production,音乐前期制作,zh-CN
demo recording,小样录音,zh-CN
tracking session,分轨录音场次,zh-CN
overdub session,叠录场次,zh-CN
recording session,录音场次,zh-CN
mixing session,混音场次,zh-CN
mastering session,母带制作场次,zh-CN
album sequencing,专辑曲序编排,zh-CN
song arrangement,歌曲编曲,zh-CN
orchestral arrangement,管弦乐编配,zh-CN
string arrangement,弦乐编配,zh-CN
horn arrangement,管乐编配,zh-CN
rhythm section,节奏声部,zh-CN
lead vocal,主唱,zh-CN
backing vocal,和声人声,zh-CN
background vocals,背景和声,zh-CN
double-tracked vocal,双轨人声,zh-CN
vocal comping,人声选段合成,zh-CN
vocal tuning,人声音高校正,zh-CN
vocal alignment,人声节奏对齐,zh-CN
vocal stack,人声叠层,zh-CN
vocal ad-lib,即兴人声,zh-CN
guide vocal,导唱,zh-CN
scratch vocal,临时参考人声,zh-CN
instrumental version,纯音乐版,zh-CN
vocal stem,人声 Stem,zh-CN
drum stem,鼓组 Stem,zh-CN
bass stem,贝司 Stem,zh-CN
instrument stem,乐器 Stem,zh-CN
master recording,录音母版,zh-CN
multitrack recording,多轨录音,zh-CN
two-track recording,双轨录音,zh-CN
live recording,现场录音,zh-CN
direct-to-stereo recording,直录立体声,zh-CN
analog recording,模拟录音,zh-CN
digital recording,数字录音,zh-CN
hybrid mixing,混合式混音,zh-CN
in-the-box mixing,纯软件混音,zh-CN
out-of-the-box mixing,外置硬件混音,zh-CN
recall sheet,混音召回记录表,zh-CN
mix recall,混音状态召回,zh-CN
alternate mix,备选混音版,zh-CN
radio edit,电台剪辑版,zh-CN
extended mix,加长混音版,zh-CN
club mix,俱乐部混音版,zh-CN
clean edit,洁版,zh-CN
explicit version,含露骨内容版,zh-CN
performance royalties,公开表演权版税,zh-CN
mechanical royalties,机械复制权版税,zh-CN
publishing rights,音乐出版权,zh-CN
master rights,母带权,zh-CN
synchronization license,同步使用许可,zh-CN
music cue sheet,音乐使用清单,zh-CN
ISRC,ISRC 国际标准录音制品编码,zh-CN
ISWC,ISWC 国际标准音乐作品编码,zh-CN
musical pitch,音高,zh-CN
reference pitch,参考音高,zh-CN
equal temperament,平均律,zh-CN
just intonation,纯律,zh-CN
Pythagorean tuning,五度相生律,zh-CN
meantone temperament,中全音律,zh-CN
microtonal music,微分音音乐,zh-CN
quarter tone,四分之一音,zh-CN
musical cent,音分,zh-CN
enharmonic equivalent,等音,zh-CN
pitch class,音高类,zh-CN
musical interval,音程,zh-CN
musical unison,同度,zh-CN
minor second,小二度,zh-CN
major second,大二度,zh-CN
minor third,小三度,zh-CN
major third,大三度,zh-CN
perfect fourth,纯四度,zh-CN
augmented fourth,增四度,zh-CN
musical tritone,三全音,zh-CN
diminished fifth,减五度,zh-CN
perfect fifth,纯五度,zh-CN
minor sixth,小六度,zh-CN
major sixth,大六度,zh-CN
minor seventh,小七度,zh-CN
major seventh,大七度,zh-CN
perfect octave,纯八度,zh-CN
compound interval,复音程,zh-CN
interval inversion,音程转位,zh-CN
consonant interval,协和音程,zh-CN
dissonant interval,不协和音程,zh-CN
chromatic scale,半音音阶,zh-CN
whole-tone scale,全音音阶,zh-CN
diatonic scale,自然音阶,zh-CN
major scale,大调音阶,zh-CN
natural minor scale,自然小调音阶,zh-CN
harmonic minor scale,和声小调音阶,zh-CN
melodic minor scale,旋律小调音阶,zh-CN
pentatonic scale,五声音阶,zh-CN
major pentatonic scale,大调五声音阶,zh-CN
minor pentatonic scale,小调五声音阶,zh-CN
blues scale,布鲁斯音阶,zh-CN
octatonic scale,八音音阶,zh-CN
diminished scale,减音阶,zh-CN
altered scale,变化音阶,zh-CN
modal scale,调式音阶,zh-CN
Ionian mode,伊奥尼亚调式,zh-CN
Dorian mode,多利亚调式,zh-CN
Phrygian mode,弗里几亚调式,zh-CN
Lydian mode,利底亚调式,zh-CN
Mixolydian mode,混合利底亚调式,zh-CN
Aeolian mode,爱奥利亚调式,zh-CN
Locrian mode,洛克里亚调式,zh-CN
tonic scale degree,主音,zh-CN
supertonic scale degree,上主音,zh-CN
mediant scale degree,中音,zh-CN
subdominant scale degree,下属音,zh-CN
dominant scale degree,属音,zh-CN
submediant scale degree,下中音,zh-CN
leading tone,导音,zh-CN
scale degree,音级,zh-CN
key signature,调号,zh-CN
major key,大调,zh-CN
minor key,小调,zh-CN
parallel key,同主音调,zh-CN
relative key,关系大小调,zh-CN
closely related key,近关系调,zh-CN
distant key,远关系调,zh-CN
key modulation,转调,zh-CN
tonicization,临时主音化,zh-CN
modal interchange,调式互换,zh-CN
borrowed chord,借用和弦,zh-CN
secondary dominant,副属和弦,zh-CN
secondary leading-tone chord,副导和弦,zh-CN
circle of fifths,五度圈,zh-CN
chromatic mediant,变音中音关系和弦,zh-CN
voice leading,声部进行,zh-CN
contrary motion,反向进行,zh-CN
parallel motion,平行进行,zh-CN
oblique motion,斜向进行,zh-CN
similar motion,同向进行,zh-CN
part writing,声部写作,zh-CN
harmonic doubling,和声中的音级重复,zh-CN
common tone,共同音,zh-CN
non-chord tone,和弦外音,zh-CN
passing tone,经过音,zh-CN
neighbor tone,辅助音,zh-CN
appoggiatura,倚音,zh-CN
harmonic suspension,延留音,zh-CN
harmonic retardation,迟延音,zh-CN
harmonic anticipation,先现音,zh-CN
pedal point,持续音,zh-CN
ostinato,固定音型,zh-CN
drone note,持续音,zh-CN
musical triad,三和弦,zh-CN
major triad,大三和弦,zh-CN
minor triad,小三和弦,zh-CN
diminished triad,减三和弦,zh-CN
augmented triad,增三和弦,zh-CN
seventh chord,七和弦,zh-CN
major seventh chord,大七和弦,zh-CN
dominant seventh chord,属七和弦,zh-CN
minor seventh chord,小七和弦,zh-CN
half-diminished seventh chord,半减七和弦,zh-CN
fully diminished seventh chord,减七和弦,zh-CN
extended chord,扩展和弦,zh-CN
ninth chord,九和弦,zh-CN
eleventh chord,十一和弦,zh-CN
thirteenth chord,十三和弦,zh-CN
added-tone chord,附加音和弦,zh-CN
suspended chord,挂留和弦,zh-CN
slash chord,斜线和弦,zh-CN
polychord,复合和弦,zh-CN
quartal harmony,四度叠置和声,zh-CN
quintal harmony,五度叠置和声,zh-CN
chord voicing,和弦配置,zh-CN
open voicing,开放排列,zh-CN
close voicing,密集排列,zh-CN
drop-2 voicing,Drop 2 和弦排列,zh-CN
drop-3 voicing,Drop 3 和弦排列,zh-CN
root position,原位,zh-CN
first inversion,第一转位,zh-CN
second inversion,第二转位,zh-CN
third inversion,第三转位,zh-CN
harmonic function,和声功能,zh-CN
tonic function,主功能,zh-CN
predominant function,属前功能,zh-CN
dominant function,属功能,zh-CN
functional harmony,功能和声,zh-CN
non-functional harmony,非功能和声,zh-CN
harmonic cadence,和声终止式,zh-CN
authentic cadence,正格终止,zh-CN
perfect authentic cadence,完全正格终止,zh-CN
imperfect authentic cadence,不完全正格终止,zh-CN
plagal cadence,变格终止,zh-CN
half cadence,半终止,zh-CN
deceptive cadence,阻碍终止,zh-CN
harmonic rhythm,和声节奏,zh-CN
chord progression,和弦进行,zh-CN
twelve-bar blues,十二小节布鲁斯,zh-CN
ii–V–I progression,ii–V–I 和弦进行,zh-CN
turnaround progression,回转和弦进行,zh-CN
musical rhythm,音乐节奏,zh-CN
musical tempo,音乐速度,zh-CN
beats per minute,每分钟拍数,zh-CN
simple meter,单拍子,zh-CN
compound meter,复拍子,zh-CN
duple meter,二拍子,zh-CN
triple meter,三拍子,zh-CN
quadruple meter,四拍子,zh-CN
odd meter,不规则拍子,zh-CN
polymeter,复合拍号并置,zh-CN
mixed meter,混合拍子,zh-CN
metric modulation,节拍速度转换,zh-CN
musical downbeat,强拍,zh-CN
musical upbeat,弱起拍,zh-CN
musical backbeat,反拍重音,zh-CN
musical offbeat,弱位拍,zh-CN
syncopation,切分,zh-CN
cross-rhythm,交叉节奏,zh-CN
polyrhythm,复节奏,zh-CN
hemiola,赫米奥拉节奏,zh-CN
tuplet,连音组,zh-CN
musical triplet,三连音,zh-CN
musical quintuplet,五连音,zh-CN
musical septuplet,七连音,zh-CN
swing feel,摇摆律动,zh-CN
shuffle feel,Shuffle 律动,zh-CN
straight feel,直拍律动,zh-CN
musical groove,音乐律动,zh-CN
microtiming,微时值,zh-CN
MIDI humanization,MIDI 人性化处理,zh-CN
MIDI quantization,MIDI 量化,zh-CN
quantize grid,量化网格,zh-CN
swing percentage,摇摆比例,zh-CN
tempo map,速度图,zh-CN
tempo automation,速度自动化,zh-CN
rubato,自由速度,zh-CN
ritardando,渐慢,zh-CN
accelerando,渐快,zh-CN
fermata,延长记号,zh-CN
pickup measure,弱起小节,zh-CN
anacrusis,弱起,zh-CN
bar line,小节线,zh-CN
musical measure,小节,zh-CN
musical phrase,乐句,zh-CN
musical period,乐段,zh-CN
musical motif,音乐动机,zh-CN
musical theme,音乐主题,zh-CN
countermelody,对旋律,zh-CN
counterpoint,对位,zh-CN
musical imitation,模仿复调,zh-CN
musical canon,卡农,zh-CN
musical fugue,赋格,zh-CN
sonata exposition,奏鸣曲呈示部,zh-CN
rondo form,回旋曲式,zh-CN
sonata form,奏鸣曲式,zh-CN
theme and variations,主题与变奏,zh-CN
through-composed form,贯穿式曲式,zh-CN
song verse,主歌,zh-CN
song chorus,副歌,zh-CN
pre-chorus,预副歌,zh-CN
song refrain,歌曲叠句,zh-CN
instrumental break,器乐间奏,zh-CN
vamp section,反复伴奏段,zh-CN
song hook,歌曲记忆点,zh-CN
lead sheet,旋律和弦谱,zh-CN
full score,总谱,zh-CN
conductor score,指挥总谱,zh-CN
part score,分谱,zh-CN
grand staff,大谱表,zh-CN
alto clef,中音谱号,zh-CN
tenor clef,次中音谱号,zh-CN
transposing instrument,移调乐器,zh-CN
concert score,实音总谱,zh-CN
written pitch,记谱音高,zh-CN
concert pitch notation,实音记谱,zh-CN
musical articulation,演奏法记号,zh-CN
legato,连奏,zh-CN
staccato,断奏,zh-CN
tenuto,保持音,zh-CN
marcato,强奏记号,zh-CN
accent mark,重音记号,zh-CN
pizzicato,拨奏,zh-CN
arco bowing,弓奏,zh-CN
tremolo,震音,zh-CN
musical trill,颤音,zh-CN
glissando,滑奏,zh-CN
portamento,滑音,zh-CN
harmonic fingering,泛音指法,zh-CN
natural harmonic,自然泛音,zh-CN
artificial harmonic,人工泛音,zh-CN
col legno,以弓杆击弦,zh-CN
sul ponticello,近琴桥演奏,zh-CN
sul tasto,指板上方演奏,zh-CN
con sordino,加弱音器,zh-CN
senza sordino,去弱音器,zh-CN
flutter tonguing,花舌,zh-CN
multiphonics,多音奏法,zh-CN
breath tone,气声音色,zh-CN
growl technique,吼音奏法,zh-CN
ghost note,幽灵音,zh-CN
dead note,闷音,zh-CN
palm muting,手掌制音,zh-CN
hammer-on,击弦,zh-CN
pull-off,勾弦,zh-CN
guitar string bend,吉他推弦,zh-CN
vibrato,颤音,zh-CN
alternate picking,交替拨弦,zh-CN
fingerstyle,指弹,zh-CN
slap bass,拍弦贝司,zh-CN
double stop,双音奏法,zh-CN
divisi,分奏,zh-CN
tutti,全奏,zh-CN
solo passage,独奏段,zh-CN
unison passage,齐奏段,zh-CN
orchestral doubling,管弦配器中的乐器加倍,zh-CN
instrument range,乐器音域,zh-CN
tessitura,常用音区,zh-CN
musical register,音乐音区,zh-CN
orchestral texture,管弦织体,zh-CN
monophonic texture,单声织体,zh-CN
homophonic texture,主调织体,zh-CN
polyphonic texture,复调织体,zh-CN
heterophonic texture,支声织体,zh-CN
orchestral balance,管弦平衡,zh-CN
close miking,近距离拾音,zh-CN
distant miking,远距离拾音,zh-CN
spot microphone,点话筒,zh-CN
main microphone array,主话筒阵列,zh-CN
