source,target,tgt_lng
lexical scope,词法作用域,zh-CN
dynamic scope,动态作用域,zh-CN
dynamic type checking,动态类型检查,zh-CN
strong type system,强类型系统,zh-CN
gradual type system,渐进式类型系统,zh-CN
nominal type system,名义类型系统,zh-CN
dependent type,依赖类型,zh-CN
refinement type,精化类型,zh-CN
sum type,和类型,zh-CN
product type,积类型,zh-CN
discriminated union,可辨识联合类型,zh-CN
opaque type,不透明类型,zh-CN
higher-kinded type,高阶类型,zh-CN
generic type parameter,泛型类型参数,zh-CN
type constraint,类型约束,zh-CN
type inference engine,类型推断引擎,zh-CN
type coercion,类型强制转换,zh-CN
type narrowing,类型收窄,zh-CN
null safety,空值安全,zh-CN
non-nullable type,不可空类型,zh-CN
contravariant type parameter,逆变类型参数,zh-CN
invariant type parameter,不变类型参数,zh-CN
higher-order function,高阶函数,zh-CN
pure function,纯函数,zh-CN
function composition,函数组合,zh-CN
partial application,偏应用,zh-CN
tail-call optimization,尾调用优化,zh-CN
continuation-passing style,延续传递风格,zh-CN
immutable data structure,不可变数据结构,zh-CN
lazy evaluation,惰性求值,zh-CN
eager evaluation,立即求值,zh-CN
pattern matching expression,模式匹配表达式,zh-CN
exhaustive pattern matching,穷尽式模式匹配,zh-CN
multiple dispatch,多重分派,zh-CN
dynamic dispatch,动态分派,zh-CN
method resolution order,方法解析顺序,zh-CN
virtual method table,虚方法表,zh-CN
method overriding,方法重写,zh-CN
operator overloading,运算符重载,zh-CN
protocol-oriented programming,面向协议编程,zh-CN
aspect-oriented programming,面向切面编程,zh-CN
reactive programming,响应式编程,zh-CN
logic programming,逻辑编程,zh-CN
compile-time metaprogramming,编译期元编程,zh-CN
domain-specific language,领域特定语言,zh-CN
language binding,语言绑定,zh-CN
calling convention,调用约定,zh-CN
link-time optimization,链接时优化,zh-CN
profile-guided optimization,配置文件引导优化,zh-CN
just-in-time compilation,即时编译,zh-CN
incremental compilation,增量编译,zh-CN
source-to-source compiler,源到源编译器,zh-CN
abstract syntax tree,抽象语法树,zh-CN
intermediate representation,中间表示,zh-CN
static single-assignment form,静态单赋值形式,zh-CN
data-flow analysis,数据流分析,zh-CN
alias analysis,别名分析,zh-CN
constant folding,常量折叠,zh-CN
dead-code elimination,死代码消除,zh-CN
loop unrolling,循环展开,zh-CN
common subexpression elimination,公共子表达式消除,zh-CN
undefined behavior,未定义行为,zh-CN
unspecified behavior,未指定行为,zh-CN
memory safety,内存安全,zh-CN
temporal memory safety,时间内存安全,zh-CN
use-after-free vulnerability,释放后使用漏洞,zh-CN
dangling pointer,悬空指针,zh-CN
null pointer dereference,空指针解引用,zh-CN
exception safety guarantee,异常安全保证,zh-CN
resource acquisition is initialization,资源获取即初始化,zh-CN
copy-on-write semantics,写时复制语义,zh-CN
move semantics,移动语义,zh-CN
reference semantics,引用语义,zh-CN
ownership semantics,所有权语义,zh-CN
lifetime annotation,生命周期标注,zh-CN
interior mutability,内部可变性,zh-CN
lock-free algorithm,无锁算法,zh-CN
wait-free algorithm,无等待算法,zh-CN
sequential consistency,顺序一致性,zh-CN
acquire-release semantics,获取—释放语义,zh-CN
work-stealing scheduler,工作窃取调度器,zh-CN
cooperative multitasking,协作式多任务,zh-CN
preemptive multitasking,抢占式多任务,zh-CN
fiber scheduler,纤程调度器,zh-CN
communicating sequential processes,通信顺序进程,zh-CN
Python global interpreter lock,Python 全局解释器锁,zh-CN
Python generator expression,Python 生成器表达式,zh-CN
Python iterator protocol,Python 迭代器协议,zh-CN
Python data model,Python 数据模型,zh-CN
Python metaclass,Python 元类,zh-CN
Python type annotation,Python 类型注解,zh-CN
Python virtual environment,Python 虚拟环境,zh-CN
Python asynchronous iterator,Python 异步迭代器,zh-CN
Python asynchronous context manager,Python 异步上下文管理器,zh-CN
JavaScript prototype chain,JavaScript 原型链,zh-CN
JavaScript microtask queue,JavaScript 微任务队列,zh-CN
JavaScript module graph,JavaScript 模块图,zh-CN
