source,target,tgt_lng
a blessing in disguise,因祸得福,zh-CN
a dime a dozen,多得不稀奇,zh-CN
a drop in the bucket,杯水车薪,zh-CN
a fish out of water,格格不入的人,zh-CN
a flash in the pan,昙花一现,zh-CN
a grey area,灰色地带,zh-CN
a hard pill to swallow,难以接受的事实,zh-CN
it may be a long shot,这事成功希望渺茫,zh-CN
the results are a mixed bag,结果有好有坏,zh-CN
a necessary evil,不得已的坏事,zh-CN
be a real pain in the neck,真让人头疼,zh-CN
a piece of cake,小菜一碟,zh-CN
feel like a slap in the face,感觉像当面羞辱,zh-CN
a slippery slope,危险的滑坡效应,zh-CN
a snowball effect,滚雪球效应,zh-CN
a storm in a teacup,小题大做,zh-CN
a taste of your own medicine,自食其果,zh-CN
a tough act to follow,难以超越的前例,zh-CN
add fuel to the fire,火上浇油,zh-CN
add insult to injury,雪上加霜,zh-CN
against all odds,排除万难,zh-CN
all in the same boat,大家处境相同,zh-CN
the plan is all over the place,计划杂乱无章,zh-CN
be an open book,为人坦诚，毫无秘密,zh-CN
as cool as a cucumber,镇定自若,zh-CN
reach a crossroads in life,走到人生的十字路口,zh-CN
at the drop of a hat,说做就做,zh-CN
back against the wall,被逼入绝境,zh-CN
back to square one,回到原点,zh-CN
bark up the wrong tree,找错对象,zh-CN
beat around the bush,拐弯抹角,zh-CN
bend over backwards,竭尽全力,zh-CN
best of both worlds,两全其美,zh-CN
bite off more than you can chew,贪多嚼不烂,zh-CN
bite the bullet,硬着头皮面对,zh-CN
bite the hand that feeds you,恩将仇报,zh-CN
blow off steam,发泄情绪,zh-CN
break the ice,打破僵局,zh-CN
bring home the bacon,挣钱养家,zh-CN
burn your bridges,断绝自己的后路,zh-CN
burn the candle at both ends,过度透支精力,zh-CN
bury the hatchet,握手言和,zh-CN
by the skin of your teeth,勉强过关,zh-CN
call it a day,今天就到这里,zh-CN
calm before the storm,暴风雨前的平静,zh-CN
carry the weight of the world,背负沉重压力,zh-CN
caught between a rock and a hard place,进退两难,zh-CN
change of heart,改变心意,zh-CN
chip on your shoulder,心怀怨气,zh-CN
clear the air between us,消除我们之间的误会,zh-CN
close but no cigar,差一点就成功,zh-CN
come full circle,兜了一圈回到原点,zh-CN
compare apples and oranges,把不能相比的事物硬作比较,zh-CN
cost an arm and a leg,贵得离谱,zh-CN
cross that bridge when we come to it,到时候再想办法,zh-CN
cry over spilled milk,为无法挽回的事懊悔,zh-CN
cut corners on quality,在质量上偷工减料,zh-CN
cut to the chase,直奔主题,zh-CN
devil is in the details,魔鬼藏在细节中,zh-CN
dig your own grave,自掘坟墓,zh-CN
don't count your chickens before they hatch,别高兴得太早,zh-CN
don't put all your eggs in one basket,不要孤注一掷,zh-CN
be a down-to-earth person,为人脚踏实地,zh-CN
