source,target,tgt_lng
AoE,範圍,zh-TW
PoE,POE,zh-TW
PoE2,POE2,zh-TW
Supporter,贊助者,zh-TW
Ailment,異常狀態,zh-TW
Bleed,流血,zh-TW
Bleeding,流血,zh-TW
Chill,冰緩,zh-TW
Corrupted Blood,腐化之血,zh-TW
Damaging Ailment,傷害型異常狀態,zh-TW
Freeze,冰凍,zh-TW
Ignite,點燃,zh-TW
Non-damaging Ailment,非傷害型異常狀態,zh-TW
Poison,中毒,zh-TW
Shock,感電,zh-TW
Brittle,易碎,zh-TW
Sap,疲憊,zh-TW
Scorch,焦灼,zh-TW
Body Armour,胸甲,zh-TW
Boots,鞋子,zh-TW
Gloves,手套,zh-TW
Helmet,頭部,zh-TW
Acolyte of Chayula,夏烏拉侍僧,zh-TW
Amazon,亞馬遜,zh-TW
Blood Mage,血法師,zh-TW
Chronomancer,時空幻術師,zh-TW
Deadeye,銳眼,zh-TW
Infernalist,獄火師,zh-TW
Lich,巫妖,zh-TW
Pathfinder,追獵者,zh-TW
Stormweaver,風暴編織者,zh-TW
Titan,泰坦,zh-TW
Warbringer,戰爭使者,zh-TW
Witchhunter,女巫獵人,zh-TW
Trial of Chaos,混沌試煉,zh-TW
Trial of the Sekhemas,瑟克瑪試煉,zh-TW
Dexterity,敏捷,zh-TW
Intelligence,智慧,zh-TW
Strength,力量,zh-TW
Adrenaline,腎上腺素,zh-TW
Arcane Surge,秘能波動,zh-TW
Elusive,靈巧,zh-TW
Onslaught,猛攻,zh-TW
Phasing,迷蹤,zh-TW
Rampage,暴怒,zh-TW
Tailwind,順風,zh-TW
Act,章节,zh-TW
Ascendancy Class,昇華職業,zh-TW
Character,角色,zh-TW
NPC,NPC,zh-TW
Endurance Charge,耐力球,zh-TW
Frenzy Charge,狂怒球,zh-TW
Inspiration Charge,啟發球,zh-TW
Power Charge,暴擊球,zh-TW
Virulence,毒性,zh-TW
Druid,德魯伊,zh-TW
Huntress,女獵人,zh-TW
Mercenary,傭兵,zh-TW
Monk,僧侶,zh-TW
Ranger,遊俠,zh-TW
Sorceress,女術者,zh-TW
Warrior,戰士,zh-TW
Witch,女巫,zh-TW
Accuracy,命中值,zh-TW
Attack,攻擊,zh-TW
Conversion,傷害轉換,zh-TW
Critical Hit,暴擊,zh-TW
Critical Strike Chance,暴擊率,zh-TW
Critical Strike Multiplier,暴擊加成,zh-TW
Damage,傷害,zh-TW
Gain as Extra,獲得額外,zh-TW
Hit,擊中,zh-TW
Melee,近戰,zh-TW
Penetration,穿透抗性,zh-TW
Projectile,投射物,zh-TW
Spell,法術,zh-TW
4L,4連,zh-TW
4S,4洞,zh-TW
5L,5連,zh-TW
5S,5洞,zh-TW
6L,6連,zh-TW
6S,6洞,zh-TW
AA,AA,zh-TW
AG,AG,zh-TW
Alch,鍊金,zh-TW
Alt,改造,zh-TW
Ammy,項鍊,zh-TW
AoF,火之化身,zh-TW
AW,幻化武器,zh-TW
BAMA,BAMA,zh-TW
BB,刀鋒爆破,zh-TW
Best in Slot,最佳部位裝備,zh-TW
BF,刀雨/刀鋒亂舞,zh-TW
