source,target,tgt_lng
dialogue editing,对白编辑,zh-CN
dialogue editor,对白编辑师,zh-CN
dialogue track,对白音轨,zh-CN
dialogue stem,对白分轨,zh-CN
production dialogue,同期对白,zh-CN
production sound,同期声,zh-CN
production audio,同期录音素材,zh-CN
production sound mixer,现场录音师,zh-CN
location sound recordist,同期录音师,zh-CN
sound utility,录音助理,zh-CN
boom track,吊杆话筒音轨,zh-CN
boom microphone,吊杆话筒,zh-CN
plant microphone,隐藏式固定麦克风,zh-CN
lavalier microphone,领夹麦克风,zh-CN
lavalier track,领夹麦克风音轨,zh-CN
radio microphone,无线话筒,zh-CN
wireless microphone system,无线话筒系统,zh-CN
iso track,独立隔离音轨,zh-CN
mix track,现场混合音轨,zh-CN
guide track,参考音轨,zh-CN
scratch track,临时参考音轨,zh-CN
camera scratch audio,机内参考声,zh-CN
wild track,单录声,zh-CN
wild line,单录对白,zh-CN
wild sound,单录声音,zh-CN
room tone,房间底噪,zh-CN
presence track,环境底声轨,zh-CN
background ambience,背景环境声,zh-CN
set noise,片场噪声,zh-CN
location ambience,现场环境声,zh-CN
sound report,录音报告,zh-CN
sound roll,录音卷号,zh-CN
tape name,素材卷名,zh-CN
scene metadata,场次元数据,zh-CN
take metadata,条次元数据,zh-CN
circled take,圈选条次,zh-CN
channel name,通道名称,zh-CN
track name,音轨名称,zh-CN
BWF metadata,BWF 元数据,zh-CN
iXML metadata,iXML 元数据,zh-CN
timecode stamp,时间码时间戳,zh-CN
original timestamp,原始时间戳,zh-CN
source timecode,源时间码,zh-CN
user bits,用户位,zh-CN
jam sync,时间码校准同步,zh-CN
timecode drift,时间码漂移,zh-CN
sample drift,采样漂移,zh-CN
clock drift,时钟漂移,zh-CN
double-system sound,双系统录音,zh-CN
single-system sound,单系统录音,zh-CN
dual-system sync,双系统同步,zh-CN
sync sound,同期声,zh-CN
sync point,同步点,zh-CN
sync mark,同步标记点,zh-CN
clapper slate,场记板,zh-CN
tail slate,尾板,zh-CN
sync map,同步对应表,zh-CN
sound turnover,声音交接,zh-CN
picture turnover,画面交接,zh-CN
turnover materials,交接素材,zh-CN
locked picture,锁定画面,zh-CN
picture lock,锁画,zh-CN
reconform,重新套剪,zh-CN
change list,画面修改清单,zh-CN
cut list,剪辑清单,zh-CN
edit decision list,剪辑决定表,zh-CN
Advanced Authoring Format (AAF),高级制作格式,zh-CN
Open Media Framework (OMF),开放媒体框架,zh-CN
embedded AAF,内嵌媒体的 AAF,zh-CN
linked AAF,链接媒体的 AAF,zh-CN
audio handles,音频剪辑余量,zh-CN
source clip,源片段,zh-CN
matching field recorder channel,匹配的现场录音通道,zh-CN
field recorder workflow,现场录音机工作流程,zh-CN
polyphonic WAV,多通道交织 WAV 文件,zh-CN
monophonic WAV,单声道 WAV 文件,zh-CN
split mono,拆分为单声道,zh-CN
BWAV,广播波形文件,zh-CN
interleaved audio,交织音频,zh-CN
deinterleaved audio,非交织音频,zh-CN
clip list,片段列表,zh-CN
region group,区域组,zh-CN
clip group,片段组,zh-CN
clip gain,片段增益,zh-CN
dynamic clip gain,动态片段增益,zh-CN
volume automation,音量自动化,zh-CN
pan automation,声像自动化,zh-CN
plug-in automation,插件参数自动化,zh-CN
breakpoint automation,断点自动化,zh-CN
automation mode,自动化模式,zh-CN
write automation,写入自动化,zh-CN
trim automation,微调自动化,zh-CN
write to selection,写入选区,zh-CN
coalesce automation,合并自动化数据,zh-CN
checkerboarding,棋盘式交错铺轨,zh-CN
checkerboard editing,棋盘式交错剪辑,zh-CN
track layout,音轨布局,zh-CN
session template,工程模板,zh-CN
session setup,工程设置,zh-CN
session sample rate,工程采样率,zh-CN
session start time,工程起始时间码,zh-CN
two-pop,两秒同步爆点,zh-CN
tail pop,尾部同步爆点,zh-CN
academy leader,学院片头,zh-CN
first frame of action,动作首帧,zh-CN
last frame of action,动作末帧,zh-CN
footage reference,画面参考,zh-CN
reference video,参考视频,zh-CN
video satellite,视频卫星系统,zh-CN
dialogue assembly,对白素材组接,zh-CN
dialogue conform,对白套剪,zh-CN
dialogue premix,对白预混,zh-CN
dialogue cleanup,对白清理,zh-CN
dialogue isolation,对白分离,zh-CN
dialogue matching,对白音色匹配,zh-CN
dialogue replacement,对白替换,zh-CN
dialogue intelligibility,对白可懂度,zh-CN
dialogue clarity,对白清晰感,zh-CN
dialogue perspective,对白空间透视,zh-CN
