source,target,tgt_lng
valve,арматура,ru
gate valve,задвижка,ru
globe valve,клапан,ru
ball valve,кран шаровой,ru
butterfly valve,затвор дисковый,ru
check valve,клапан обратный,ru
safety valve,клапан предохранительный,ru
control valve,клапан регулирующий,ru
plug valve,кран пробковый,ru
needle valve,клапан игольчатый,ru
parallel gate valve,задвижка параллельная,ru
wedge gate valve,задвижка клиновая,ru
flexible wedge gate valve,задвижка с упругим клином,ru
double disc wedge gate valve,задвижка с двухдисковым клином,ru
double parallel disc gate valve,задвижка с двумя параллельными дисками,ru
rotatable gate valve,задвижка поворотная,ru
slab gate valve,задвижка шиберная,ru
pinch gate valve,задвижка пережимная,ru
gate valve with rising stem,задвижка с выдвижным шпинделем,ru
gate valve with non-rising stem,задвижка с невыдвижным шпинделем,ru
floating ball valve,кран шаровой с плавающим шаром,ru
trunnion ball valve,кран шаровой с опорными цапфами,ru
segmental ball valve,кран шаровой сегментный,ru
lift plug valve,кран пробковый подъемный,ru
glandless plug valve,кран пробковый сальниковый,ru
eccentric butterfly valve,затвор дисковый эксцентриковый,ru
lift check valve,клапан обратный подъемный,ru
swing check valve,клапан обратный поворотный,ru
axial check valve,клапан обратный осевой,ru
duo plate check valve,клапан обратный двухстворчатый,ru
foot valve,клапан приемный,ru
non-return valve,клапан невозвратный,ru
stop check valve,клапан обратно-запорный,ru
shut-off valves,арматура запорная,ru
control valves,арматура регулирующая,ru
safety valves,арматура предохранительная,ru
phase separating valves,арматура фазоразделительная,ru
throttling valves,арматура дроссельная,ru
on-off valves,арматура запорная,ru
stop and check valves,арматура запорно-обратная,ru
on-off and control valves,арматура запорно-регулирующая,ru
isolation valve,клапан отсечной,ru
overpressure valve,клапан избыточного давления,ru
breathing valve,клапан дыхательный,ru
mixing valve,клапан смесительный,ru
diverting control valve,клапан распределительный,ru
blending valve,клапан смешивающий,ru
actuator,привод,ru
manual actuator,ручной привод,ru
electric actuator,электропривод,ru
hydraulic actuator,гидропривод,ru
pneumatic actuator,пневмопривод,ru
solenoid actuator,привод электромагнитный,ru
electrohydraulic actuator,привод электрогидравлический,ru
multi-turn actuator,привод многооборотный,ru
part-turn actuator,привод неполнооборотный,ru
multi-turn electric actuator,привод электрический многооборотный,ru
part-turn electric actuator,привод электрический неполнооборотный,ru
electric motor actuator,привод электромоторный,ru
jet actuator,привод струйный,ru
paddle-pneumatic actuator,привод лопастной пневматический,ru
vane pneumatic actuator,привод лопастной пневматический,ru
gear,редуктор,ru
handwheel,маховик,ru
handle,рукоятка,ru
load-bearing element,силовой элемент,ru
valve positioner,позиционер,ru
hydraulic positioner,позиционер гидравлический,ru
pneumatic positioner,позиционер пневматический,ru
electric positioner,позиционер электрический,ru
electrohydraulic positioner,позиционер электрогидравлический,ru
electropneumatic positioner,позиционер электропневматический,ru
manual operator,оператор ручной,ru
pressure regulator,регулятор давления,ru
pressure-reducing valve,редуктор давления,ru
direct action regulator,регулятор прямого действия,ru
indirect action regulator,регулятор непрямого действия,ru
pilot-actuated regulator,регулятор с пилотным управлением,ru
upstream pressure controller,регулятор давления до себя,ru
downstream pressure controller,регулятор давления после себя,ru
temperature regulator,регулятор температуры,ru
level controller,регулятор уровня,ru
flow control valve,регулятор расхода,ru
safety valve block,блок предохранительных клапанов,ru
single-seated safety valve,клапан предохранительный односедельный,ru
double-seated safety/relief valve,клапан предохранительный двухседельный,ru
pilot operated safety valve,клапан предохранительный с пилотным управлением,ru
low lift safety/relief valve,клапан предохранительный малоподъемный,ru
ordinary safety/relief valve,клапан предохранительный обычный,ru
full lift safety/relief valve,клапан предохранительный полноподъемный,ru
bellows safety relief valve,клапан предохранительный сильфонный,ru
lever-and-weight loaded safety/relief valve,клапан предохранительный рычажно-грузовой,ru
spring-loaded lever-operated safety/relief valve,клапан предохранительный пружинно-рычажный,ru
weight-loaded lever-operated safety/relief valve,клапан предохранительный грузовой рычажный,ru
safety/relief valve with gas chamber,клапан предохранительный с газовой камерой,ru
temperature-actuated safety valve,клапан предохранительный термоприводной,ru
indirect operated safety valve,клапан предохранительный непрямого действия,ru
pilot operated safety/relief valve,клапан предохранительный пилотный,ru
rupture disc device,устройство с разрывной мембраной,ru
safety device with rupture disc,устройство предохранительное с разрывной мембраной,ru
steam trap,конденсатоотводчик,ru
trap,ловушка,ru
float steam trap,конденсатоотводчик поплавковый,ru
thermodynamic steam trap,конденсатоотводчик термодинамический,ru
thermostatic steam trap,конденсатоотводчик термостатический,ru
labyrinth steam trap,конденсатоотводчик лабиринтный,ru
air release valve,клапан воздухоотводный,ru
air relief valve,клапан воздухосбросный,ru
air trap,воздухоотводчик,ru
flanged valves,арматура фланцевая,ru
flangless valves,арматура бесфланцевая,ru
wafer type valves,арматура межфланцевая,ru
wafer valves,арматура дисковая,ru
lug-type valves,арматура проушинная,ru
screwed valves (female),арматура резьбовая (внутренняя),ru
screwed valves (male),арматура резьбовая (наружная),ru
butt-weld valves,арматура под приварку встык,ru
union valves,арматура муфтовая,ru
valves with flangeless body,арматура с бесфланцевым корпусом,ru
encased valves,арматура в защитном кожухе,ru
multiport valves,арматура многоходовая,ru
multiway valves,арматура многопроходная,ru
