archē,本原,zh-CN
logos,逻各斯,zh-CN
aporia,疑难,zh-CN
substance,实体,zh-CN
accident,偶性,zh-CN
universals,共相,zh-CN
particulars,殊相,zh-CN
quiddity,何性,zh-CN
haecceity,此性,zh-CN
potentiality,潜能,zh-CN
final cause,目的因,zh-CN
efficient cause,动力因,zh-CN
formal cause,形式因,zh-CN
material cause,质料因,zh-CN
prime mover,第一推动者,zh-CN

idea,观念,zh-CN
substance,实体,zh-CN
mode,样态,zh-CN
extension,广延,zh-CN
innate idea,天赋观念,zh-CN
simple idea,简单观念,zh-CN
complex idea,复杂观念,zh-CN
primary quality,第一性质,zh-CN
secondary quality,第二性质,zh-CN
relations of ideas,观念关系,zh-CN
matters of fact,事实问题,zh-CN
monad,单子,zh-CN
pre-established harmony,预定和谐,zh-CN
principle of sufficient reason,充足理由律,zh-CN
clear and distinct,清楚分明,zh-CN
objective reality,客观实在性,zh-CN
formal reality,形式实在性,zh-CN
occasionalism,偶因论,zh-CN
conatus,努力,zh-CN

Idealism,观念论,zh-CN
Realism,实在论,zh-CN
a priori,先天的,zh-CN
a posteriori,后天的,zh-CN
transcendental,先验的,zh-CN
transcendent,超验的,zh-CN
intuition,直观,zh-CN
sensibility,感性,zh-CN
Understanding,知性,zh-CN
Reason,理性,zh-CN
apperception,统觉,zh-CN
transcendental apperception,先验统觉,zh-CN
representation,表象,zh-CN
manifold,杂多,zh-CN
thing in itself,物自体,zh-CN
noumenon,本体,zh-CN
schema,图式,zh-CN
schematism,图式法,zh-CN
analytic judgment,分析判断,zh-CN
synthetic judgment,综合判断,zh-CN
synthetic a priori judgment,先天综合判断,zh-CN
transcendental deduction,先验演绎,zh-CN
transcendental illusion,先验幻相,zh-CN
antinomy,二律背反,zh-CN
paralogism,谬误推理,zh-CN
regulative,调节性的,zh-CN
constitutive,构成性的,zh-CN
intellectual intuition,智性直观,zh-CN
maxim,准则,zh-CN
categorical imperative,定言命令,zh-CN
hypothetical imperative,假言命令,zh-CN
kingdom of ends,目的王国,zh-CN
autonomy,自律,zh-CN
heteronomy,他律,zh-CN

positing,设定,zh-CN
self-positing,自我设定,zh-CN
absolute I,绝对自我,zh-CN
not-I,非我,zh-CN
Identity Philosophy,同一哲学,zh-CN
ground,根据,zh-CN
determination,规定,zh-CN
determinacy,规定性,zh-CN
immediacy,直接性,zh-CN
mediation,中介,zh-CN
determinate negation,规定性否定,zh-CN
Aufhebung,扬弃,zh-CN
sublation,扬弃,zh-CN
actuality,现实性,zh-CN
Spirit,精神,zh-CN
Geist,精神,zh-CN
self-consciousness,自我意识,zh-CN
recognition,承认,zh-CN
ethical life,伦理生活,zh-CN
civil society,市民社会,zh-CN
lordship and bondage,主奴关系,zh-CN
in itself,自在的,zh-CN
for itself,自为的,zh-CN
in and for itself,自在自为的,zh-CN
