source,target,tgt_lng
above-the-line,线以上成本,zh-CN
below-the-line,线以下成本,zh-CN
film production company,电影制作公司,zh-CN
production services company,制作服务公司,zh-CN
film financier,电影出资方,zh-CN
film distributor,电影发行方,zh-CN
international sales agent,国际销售代理,zh-CN
completion bond,完片担保,zh-CN
completion guarantor,完片担保方,zh-CN
chain of title,权利链文件,zh-CN
film option agreement,影视改编权期权协议,zh-CN
rights clearance,权利清理,zh-CN
location release,场地授权书,zh-CN
appearance release,肖像及出镜授权书,zh-CN
errors and omissions insurance,差错与疏漏保险,zh-CN
greenlight a project,批准项目开拍,zh-CN
development hell,开发困境,zh-CN
project development,项目开发,zh-CN
pre-production,前期筹备,zh-CN
production calendar,制作日历,zh-CN
shooting schedule,拍摄计划,zh-CN
one-line schedule,单行拍摄计划,zh-CN
stripboard schedule,条带式拍摄计划,zh-CN
day-out-of-days report,演员出勤日表,zh-CN
script breakdown,剧本拆解,zh-CN
breakdown sheet,剧本分解表,zh-CN
production budget,制作预算,zh-CN
budget top sheet,预算总表,zh-CN
cost report,成本报告,zh-CN
purchase order,采购订单,zh-CN
petty cash,备用金,zh-CN
deal memo,聘用条件备忘录,zh-CN
crew list,工作人员名单,zh-CN
cast list,演员名单,zh-CN
vendor list,供应商名单,zh-CN
equipment package,器材套装,zh-CN
kit rental fee,自带器材租用费,zh-CN
per diem,每日差旅津贴,zh-CN
travel day,行程日,zh-CN
film producer,电影制片人,zh-CN
co-producer,联合制片人,zh-CN
associate producer,助理制片人,zh-CN
supervising producer,监制制片人,zh-CN
line producer,执行制片人,zh-CN
unit production manager,制片主任,zh-CN
production secretary,制片秘书,zh-CN
set production assistant,现场制片助理,zh-CN
office production assistant,办公室制片助理,zh-CN
film unit manager,现场制片主任,zh-CN
transportation coordinator,交通运输协调,zh-CN
picture car coordinator,戏用车辆协调员,zh-CN
casting associate,选角协理,zh-CN
extras casting director,群演选角导演,zh-CN
background actor,群众演员,zh-CN
featured extra,特约演员,zh-CN
actor stand-in,灯光替身,zh-CN
actor photo double,演员镜头替身,zh-CN
actor body double,演员身体替身,zh-CN
stunt coordinator,动作特技指导,zh-CN
fight choreographer,动作编排指导,zh-CN
intimacy coordinator,亲密戏协调员,zh-CN
dialect coach,方言指导,zh-CN
acting coach,表演指导,zh-CN
film director,电影导演,zh-CN
first assistant director,第一副导演,zh-CN
second assistant director,第二副导演,zh-CN
second second assistant director,第二第二副导演,zh-CN
third assistant director,第三副导演,zh-CN
key second assistant director,第二副导演组长,zh-CN
additional second assistant director,增补第二副导演,zh-CN
crowd assistant director,群演副导演,zh-CN
second unit director,第二组导演,zh-CN
action unit director,动作组导演,zh-CN
film unit director,分组导演,zh-CN
script editor,剧本编辑,zh-CN
story editor,故事编辑,zh-CN
story consultant,故事顾问,zh-CN
screenplay,电影剧本,zh-CN
shooting script,拍摄台本,zh-CN
spec script,待售剧本,zh-CN
script treatment,剧本阐述稿,zh-CN
story synopsis,故事梗概,zh-CN
logline,一句话梗概,zh-CN
beat sheet,情节点表,zh-CN
scene heading,场景标题,zh-CN
slugline,场景标头,zh-CN
screenplay action line,剧本动作描述,zh-CN
dialogue block,对白段落,zh-CN
script parenthetical,对白提示括注,zh-CN
page-one rewrite,全本重写,zh-CN
script sides,当日拍摄页,zh-CN
blocking rehearsal,走位排练,zh-CN
marking rehearsal,定点排练,zh-CN
technical rehearsal,技术排练,zh-CN
camera rehearsal,摄影机排练,zh-CN
dress rehearsal,带妆彩排,zh-CN
closed rehearsal,封闭排练,zh-CN
actor blocking,演员走位,zh-CN
actor mark,演员站位标记,zh-CN
eyeline mark,视线标记,zh-CN
cheat an eyeline,调整视线方向,zh-CN
camera department,摄影组,zh-CN
director of photography,摄影指导,zh-CN
first assistant camera,第一摄影助理,zh-CN
second assistant camera,第二摄影助理,zh-CN
camera trainee,摄影实习员,zh-CN
camera loader,装片员,zh-CN
digital camera utility,数字摄影助理,zh-CN
digital imaging technician,数字影像工程师,zh-CN
on-set data wrangler,片场数据管理员,zh-CN
video assist operator,视频辅助员,zh-CN
Steadicam operator,Steadicam 操作员,zh-CN
aerial cinematographer,航拍摄影师,zh-CN
underwater cinematographer,水下摄影师,zh-CN
remote head operator,遥控云台操作员,zh-CN
macro lens,微距镜头,zh-CN
probe lens,探针镜头,zh-CN
anamorphic lens,变形宽银幕镜头,zh-CN
spherical lens,球面镜头,zh-CN
anamorphic squeeze ratio,变形压缩比,zh-CN
anamorphic desqueeze,变形宽银幕去压缩显示,zh-CN
aspect ratio,画面宽高比,zh-CN
image circle,成像圈,zh-CN
sensor size,传感器尺寸,zh-CN
Super 35,Super 35 画幅,zh-CN
large-format cinematography,大画幅电影摄影,zh-CN
full-frame sensor,全画幅传感器,zh-CN
crop factor,裁切系数,zh-CN
lens aperture,镜头光圈,zh-CN
T-stop,T值光圈,zh-CN
shallow depth of field,浅景深,zh-CN
deep focus,深焦摄影,zh-CN
hyperfocal distance,超焦距,zh-CN
minimum focus distance,最近对焦距离,zh-CN
close focus,近距对焦,zh-CN
focus breathing,呼吸效应,zh-CN
rack focus,移焦,zh-CN
pull focus,跟焦,zh-CN
critical focus,精确合焦,zh-CN
split focus,分区合焦,zh-CN
neutral-density filter,中性密度滤镜,zh-CN
variable ND filter,可变中性密度滤镜,zh-CN
infrared ND filter,红外中性密度滤镜,zh-CN
circular polarizer,圆偏振镜,zh-CN
linear polarizer,线偏振镜,zh-CN
diffusion filter,柔光滤镜,zh-CN
clear optical filter,透明保护滤镜,zh-CN
close-up diopter,近摄镜,zh-CN
split-field diopter,半片近摄镜,zh-CN
streak filter,拉丝滤镜,zh-CN
lens collimation,镜头准直校准,zh-CN
camera tripod,摄影三脚架,zh-CN
camera fluid head,摄影液压云台,zh-CN
high-hat camera support,低位摄影脚架,zh-CN
low-hat camera support,超低位摄影脚架,zh-CN
Dutch head,倾斜云台,zh-CN
camera slider,摄影滑轨,zh-CN
camera jib,小型摇臂,zh-CN
camera crane,摄影摇臂,zh-CN
exposure triangle,曝光三要素,zh-CN
exposure index,曝光指数,zh-CN
native ISO,原生ISO,zh-CN
dual native ISO,双原生ISO,zh-CN
shutter angle,快门角度,zh-CN
shutter speed,快门速度,zh-CN
sensor gain,传感器增益,zh-CN
project frame rate,项目基准帧率,zh-CN
off-speed photography,变速摄影,zh-CN
high-speed photography,高速摄影,zh-CN
slow-motion photography,升格摄影,zh-CN
undercranking,降格拍摄,zh-CN
overcranking,升格拍摄,zh-CN
time-lapse photography,延时摄影,zh-CN
intervalometer,间隔拍摄器,zh-CN
film stock,电影胶片,zh-CN
negative film,负片,zh-CN
reversal film,反转片,zh-CN
camera negative,原底片,zh-CN
film emulsion,胶片乳剂层,zh-CN
motion-picture film base,电影胶片片基,zh-CN
film perforation,胶片齿孔,zh-CN
film gate,片门,zh-CN
film pressure plate,胶片压片板,zh-CN
film magazine,胶片暗盒,zh-CN
lighting department,灯光组,zh-CN
best boy electric,灯光大助,zh-CN
set lighting technician,现场灯光技师,zh-CN
lamp operator,灯具操作员,zh-CN
generator operator,发电机操作员,zh-CN
rigging electric,预装灯光技师,zh-CN
lighting console programmer,灯光控制台编程师,zh-CN
dimmer board operator,调光台操作员,zh-CN
key light,主光,zh-CN
fill light,补光,zh-CN
rim light,轮廓光,zh-CN
hair light,发丝光,zh-CN
eye light,眼神光,zh-CN
practical light,实景灯,zh-CN
motivated lighting,有动机光,zh-CN
ambient light,环境光,zh-CN
available light,现有光,zh-CN
low-key lighting,低调布光,zh-CN
lighting ratio,光比,zh-CN
light falloff,光线衰减,zh-CN
inverse-square law,平方反比定律,zh-CN
beam angle,光束角,zh-CN
field angle,光场角,zh-CN
photometric data,配光数据,zh-CN
illuminance,照度,zh-CN
foot-candle,英尺烛光,zh-CN
luminance,亮度,zh-CN
display luminance in nits,以尼特为单位的显示亮度,zh-CN
