source,target,tgt_lng
production sound,同期声,zh-CN
production sound mixer,现场录音师,zh-CN
location sound mixer,现场录音师,zh-CN
sound recordist,录音师,zh-CN
production sound recordist,同期录音师,zh-CN
location sound recordist,同期录音师,zh-CN
first assistant sound,第一录音助理,zh-CN
second assistant sound,第二录音助理,zh-CN
sound utility,录音助理,zh-CN
sound utility technician,录音器材助理,zh-CN
sound trainee,录音实习生,zh-CN
sound department,录音部门,zh-CN
sound crew,录音组,zh-CN
video assist,视频辅助,zh-CN
first assistant camera,第一摄影助理,zh-CN
second assistant camera,第二摄影助理,zh-CN
clapper loader,场记板员,zh-CN
director of photography,摄影指导,zh-CN
unit production manager,制片主任,zh-CN
assistant director,副导演,zh-CN
first assistant director,第一副导演,zh-CN
second assistant director,第二副导演,zh-CN
best boy electric,灯光大助,zh-CN
best boy grip,机械大助,zh-CN
digital imaging technician (DIT),数字影像工程师,zh-CN
sound cart,录音车,zh-CN
sound bag,便携录音包,zh-CN
bag rig,录音包系统,zh-CN
sound bag drop,放下录音包休息,zh-CN
cart rig,录音车系统,zh-CN
follow cart,器材跟车,zh-CN
sound van,录音器材车,zh-CN
equipment case,器材箱,zh-CN
Pelican case,Pelican 防护箱,zh-CN
shooting schedule,拍摄计划,zh-CN
tech scout,技术勘景,zh-CN
location scout,外景勘景,zh-CN
sound scout,声音勘景,zh-CN
blocking rehearsal,走位排练,zh-CN
camera rehearsal,摄影机排练,zh-CN
technical rehearsal,技术排练,zh-CN
line rehearsal,台词排练,zh-CN
final rehearsal,最后排练,zh-CN
roll sound,录音开机,zh-CN
sound speed,录音已开,zh-CN
camera speed,摄影已开,zh-CN
mark it,打板,zh-CN
second sticks,补打板,zh-CN
tail slate,尾板,zh-CN
head slate,头板,zh-CN
soft sticks,轻打板,zh-CN
room tone,房间底噪,zh-CN
wild track,单录声,zh-CN
wild lines,单录台词,zh-CN
wild sound,单录声音,zh-CN
presence track,环境底声轨,zh-CN
atmosphere track,环境声轨,zh-CN
background ambience,背景环境声,zh-CN
location ambience,现场环境声,zh-CN
wall-to-wall sound,全程连续录音,zh-CN
sync sound,同期声,zh-CN
guide track,参考音轨,zh-CN
scratch track,临时参考音轨,zh-CN
camera scratch,摄影机参考声,zh-CN
camera hop,无线发送至摄影机的参考声,zh-CN
confidence return,返听信号,zh-CN
video playback,视频回放,zh-CN
audio playback,声音回放,zh-CN
music playback,音乐回放,zh-CN
playback operator,回放操作员,zh-CN
interruptible foldback (IFB),可中断返听系统,zh-CN
IFB receiver,IFB返听接收机,zh-CN
private line,私密通话线路,zh-CN
on-set comms,片场内部通话,zh-CN
walkie-talkie,对讲机,zh-CN
walkie bleed,对讲机串入录音,zh-CN
cue feed,提示返送信号,zh-CN
director feed,导演监听信号,zh-CN
producer feed,制片监听信号,zh-CN
video village,导演监看区,zh-CN
sound report,录音报告,zh-CN
daily sound report,每日录音报告,zh-CN
sound log,录音日志,zh-CN
circle take,圈选条次,zh-CN
print take,保留条次,zh-CN
false take,误录条次,zh-CN
pickup take,补拍条次,zh-CN
pick-up line,补录台词,zh-CN
room tone request,录制房间底噪的要求,zh-CN
quiet on set,现场保持安静,zh-CN
hold the roll,暂停开机,zh-CN
going again,再来一条,zh-CN
checking the gate,检查片门,zh-CN
last looks,开拍前最后整理,zh-CN
picture's up,准备正式拍摄,zh-CN
lock it up,封锁现场并保持安静,zh-CN
background action,群众演员开始表演,zh-CN
sound blanket,隔音毯,zh-CN
furniture blanket,搬家毯,zh-CN
sound mat,吸音垫,zh-CN
sound baffle,声学挡板,zh-CN
sound screen,隔音屏风,zh-CN
temporary soundproofing,临时隔音处理,zh-CN
location noise,现场噪声,zh-CN
noise complaint,噪声问题报告,zh-CN
noise hold,因噪声暂停拍摄,zh-CN
aircraft hold,等飞机噪声过去,zh-CN
traffic hold,等交通噪声过去,zh-CN
generator noise,发电机噪声,zh-CN
HVAC noise,暖通空调噪声,zh-CN
practical noise,实景装置噪声,zh-CN
wardrobe noise,服装摩擦声,zh-CN
prop noise,道具噪声,zh-CN
camera noise,摄影机噪声,zh-CN
lens noise,镜头机构噪声,zh-CN
