source,target,tgt_lng
0.1.1e 更新檔說明,0.1.1e Patch Notes,en
0.1.1f 更新檔說明,0.1.1f Patch Notes,en
0.2.0d 更新檔說明,0.2.0d Patch Notes,en
0.2.0g 更新檔說明,0.2.0g Patch Notes,en
0.3.0c 更新檔說明,0.3.0c Patch Notes,en
0.3.1 更新檔說明,0.3.1 Patch Notes,en
0.4.0d 更新檔說明,0.4.0d Patch Notes,en
0.4.0e 更新檔說明,0.4.0e Patch Notes,en
0.5.1 版本更新公告,0.5.1 Patch Notes,en
0.5.2 版本更新公告,0.5.2 Patch Notes,en
0.5.4 版本更新公告,0.5.4 Patch Notes,en
Character level skill scaling 角色等級技能範圍,Perfect Jeweller's Orb,en
……並免我於傷痛,...and Protect me from Harm,en
……並驅散於長風之中,...and Scatter Them to the Winds,en
……而我將怒號,...and I Shall Rage,en
一击中的,Clean Shot,en
一心多用,Multitasking,en
一步之遥,Close Confines,en
一步登天,The Master,en
一生之友,Lifelong Friend,en
一箭穿心,Pierce the Heart,en
一臂之隔,Arms Length,en
一起上吧,Pile On,en
七伤破,Boneshatter,en
万事通,Jack of all Trades,en
万古污染,Eons of Contamination,en
万古统治,Eons of Domination,en
万径归流,Converging Paths,en
万灵召唤,Call of the Spirit,en
万用腰带,Utility Belt,en
万用裹手,Utility Wraps,en
万神殿之魂,Pantheon Souls,en
万里晴空,Clear Skies,en
三位一体,Trinity,en
三曲之光,Triskelion's Light,en
三曲爆發,Triskelion Cascade,en
三相,Trinity,en
三相戒指,Prismatic Ring,en
三相符文,Prismatic Rune,en
三级血祸碎片,Tertiary Calamity Fragment,en
三耀之火的光芒,Triskelion's Light,en
三耀辉轮,Triskelion Cascade,en
三龙战纪,The Three Dragons,en
上古堡垒,Fortress,en
上古巨剑,Ancient Greatblade,en
上古神盾,Ancient Aegis,en
上古邪术,Ancient Hex,en
上油外衣,Oiled Jacket,en
上限,Limit,en
不倦防护,Unabating,en
不再哀悼,Lament No More,en
不净,Impurity,en
不动如山,Dauntless,en
不動克雷肯,Unmoving Craiceann,en
不受影响,Unaffected,en
不可叠加效果,Non-Stacking Effects,en
不可知論,The Agnostic,en
不可移动,Immobilised,en
不可触及,Untouchable,en
不可言喻的連結,Unspoken Bond,en
不可逃脫之凍寒,Inescapable Cold,en
不可避免,Inevitability,en
不可預測的生產,Unpredictable Production,en
不完美献祭,Imperfect Sacrifice,en
不屈,Unyielding,en
不屈不破,Unbreakable,en
不屑凝视,Derogatory Gaze,en
不幸,Unlucky,en
不念荣辱,Honourless,en
不息强风,Constant Gale,en
不惧疼痛,Feel no Pain,en
不敗亡者,Morior Invictus,en
不敬 I,Profanity I,en
不敬 II,Profanity II,en
不敬之礼,Profane Ritual,en
不斷爭吵,Incessant Cacophony,en
不易死亡,Hard to Kill,en
不朽之恨,Undying Hate,en
不朽恨意,Undying Hate,en
不朽惡名,Immortal Infamy,en
不朽渴望,Immortal Thirst,en
不朽系命,Umbilicus Immortalis,en
不朽英名,Immortal Infamy,en
不朽野望,Immortal Ambition,en
不死之影,Shadow of Undeath,en
不泯坚铁,Unquenchable Iron,en
不洁之力,Unholy Might,en
不洁召唤,Carrion Call,en
不洁影响,Unholy Influence,en
不流血者,Bloodless,en
不滅之鐵,Unquenchable Iron,en
不灭之躯,Hard to Kill,en
不痛不癢,Feel no Pain,en
不破之壳,Impenetrable Shell,en
不祥珠寶插槽,Sinister Jewel Sockets,en
不移之肤,Unmoving Craiceann,en
不稳定的力量,Volatile Power,en
不稳定的渎灵,Unstable Desecration,en
不穩定的褻瀆,Unstable Desecration,en
不穩定連結,Unstable Bond,en
不穩節奏,Unsteady Tempo,en
不羁再现,Unbound Encore,en
不羁化身,Unbound Avatar,en
不羁狂怒,Unbound Fury,en
不羁雷暴,Wild Storm,en
不能恢复超过 50%,Prevents Recovery Above 50%,en
不諧之音,Cacophony,en
不變勁風,Constant Gale,en
与亡共舞,Dance with Death,en
与水同行,One with the River,en
专业搜集者,Specialised Seeker,en
专注,Concentration,en
专注刺击,Focused Thrust,en
专注吟唱,Focused Channel,en
专用容器,Specialised Containers,en
专精射击,Specialised Shots,en
世界之巅,Atop the World,en
丛林冠冕,Jungle Tiara,en
丛林迷踪,Jungle Paths,en
东方谜题大厅,Eastern Enigma Chamber,en
东方通道,Eastern Gateway,en
丝克玛便鞋,Sekhema Sandals,en
丝克玛纹章盾,Sekheman Crest Shield,en
丝克玛试炼钥匙,Trial of the Sekhema Keys,en
丝绒帽,Velvet Cap,en
丝绸便鞋,Silk Slippers,en
丝质之袍,Silk Robe,en
两害从轻,The Lesser Harm,en
两应祈祷,Twice-Answered Prayers,en
严厉申斥,Excoriate,en
严寒高岭,Alpine Ridge,en
严酷适应,Harsh Adaptations,en
並肩作戰,Fight as One,en
丧钟,Deidbell,en
丧钟之遗产,Legacy of Deidbell,en
中型生命药剂,Medium Life Flask,en
中型魔力药剂,Medium Mana Flask,en
中毒,Poison,en
中毒 I,Poison I,en
中毒 II,Poison II,en
中毒 III,Poison III,en
中空骸骨,Hollow Bones,en
中转码头,Port,en
丰碑大斧,Monument Greataxe,en
丰裕孕育赠礼,Lavish Wombgift,en
丰裕手套,Opulent Gloves,en
丰裕精华,Essence of Opulence,en
丰饶 I,Bounty I,en
丰饶 II,Bounty II,en
丰饶之地,Plentiful Lands,en
串珠頭環,Beaded Circlet,en
临时召唤生物,Temporary Minion,en
为了乌托邦,For Utopia,en
主宰,Dominion,en
主宰之觸,The Master's Reach,en
主宰領地,Mastered Domain,en
主母殿堂,The Matriarch Halls,en
主要,Meta,en
主要寶石,Meta Gems,en
主要灌注,Principal Infusion,en
主要肢体,Prime Appendages,en
久远珠宝,Historic Jewels,en
乌合之众,Gathered Masses,en
乌尔尼多催化剂,Uul-Netol's Catalyst,en
乌尔尼多的拥抱,Uul-Netol's Embrace,en
乌尔顿的雕像,Idol of Uldurn,en
乌崔德之传说,Uhtred's Saga,en
乌崔德仪式,Uhtred's Rite,en
乌崔德圣杯,Uhtred's Chalice,en
乌崔德的出走,Uhtred's Exodus,en
乌崔德的占卜,Uhtred's Augury,en
乌崔德的圣杯徽记,Uhtred's Crest of the Chalice,en
乌崔德的星图,Uhtred's Constellation,en
乌崔德的星辰,Uhtred's Sidereus,en
乌崔德的预兆,Uhtred's Omen,en
乌崔德，吞星者,"Uhtred, the Stardrinker",en
乌扎尔胸甲,Utzaal Cuirass,en
乌拉曼的凝视,Ulaman's Gaze,en
乌索玛尔，猛兽之王,"Uxmal, the Beastlord",en
乏味稳定,Arid Stability,en
乐园幻象,Visions of Paradise,en
乐土之窗,Window to Paradise,en
乘势追击,Push the Advantage,en
乘勝追擊,Push the Advantage,en
乘虚而入,Leverage,en
九头蛇使魔,Hydra Familiar,en
九尾灵猫,Cat O' Nine Tails,en
九尾貓,Cat O' Nine Tails,en
九頭蛇近親,Hydra Familiar,en
乱石半岛,Craggy Peninsula,en
乱羽金城,Feathered Fortress,en
乾旱穩定性,Arid Stability,en
乾草便鞋,Straw Sandals,en
乾草原,Steppe,en
了結他們,Finish Them,en
争夺掌控权,Wrest Control,en
争战幸存者,Warring Survivors,en
事件視界,Event Horizon,en
二元一体,Duality,en
二元一体之遗产,Legacy of Duality,en
二元性,Duality,en
二重打擊,Strike Twice,en
互换预兆,Omen of Bartering,en
五指剑,Cinquedea,en
五指短劍,Cinquedea,en
五芒屏障,Chernobog's Pillar,en
五芒屏障之遗产,Legacy of Chernobog's Pillar,en
亚曼拉，厌恶之躯,"Jamanra, the Abomination",en
亚曼拉，复生之王,"Jamanra, the Risen King",en
亚马逊,Amazon,en
亚麻腰带,Linen Belt,en
亚麻裹手,Linen Wraps,en
亞瓊的獎章,Arjun's Medal,en
亞麻便鞋,Flax Sandals,en
亡命之息,Last Gasp,en
亡灵执政官,Archon of Undeath,en
亡灵阴影,Shadow of Undeath,en
亡者之舞,Dead can Dance,en
亡者之觸,Necrotic Touch,en
亡者之軀,Necrotised Flesh,en
亡者呼唤,Death Rush,en
亡者披肩,Necromantle,en
亡靈統治者,Archon of Undeath,en
亡魂舞步,Dead can Dance,en
亢奋玩家,Delirious Players,en
亢奮,Innervate,en
交友广阔,Friend to Many,en
交戰生還者,Warring Survivors,en
交易頁,Merchant’s Tab,en
交流电涌,Alternating Current,en
交流電,Alternating Current,en
交鋒,Clash,en
交錯道途,Converging Paths,en
交错打击,Cross Strike,en
交际花曼南的残酷符文,Courtesan Mannan's Rune of Cruelty,en
亦师亦友,Mentorship,en
亮漆十字弓,Varnished Crossbow,en
亮澤護腕,Polished Bracers,en
亲和,Affinity,en
亵渎战斧,Profane Cleaver,en
人格分裂,Split Personality,en
人海戰術,Growing Swarm,en
人群演變,Evolving Throngs,en
仅最小或最大伤害,Only Minimum or Maximum Damage,en
仇恨熔炉,Hateforge,en
介於兩界,Between Two Worlds,en
从容不迫,Deliberation,en
他的惡毒入侵,His Vile Intrusion,en
他的惡臭降臨,His Foul Emergence,en
他的散布災禍,His Scattering Calamity,en
他的死墓命令,His Grave Command,en
他的飛舞烈焰,His Winnowing Flame,en
他的黑暗視界,His Dark Horizon,en
仙灵之火,Faerie Fire,en
仙饌蜜酒,Ambrosia,en
仙饌蜜酒 II,Ambrosia II,en
仙馔,Ambrosia,en
仙馔 II,Ambrosia II,en
代笔人,Ghostwrithe,en
以一换二,For the Price of One,en
以太流动,Ether Flow,en
以太湧流,Ether Flow,en
以己度人,Commiserate,en
以财生财,Riches Beget Riches,en
以身作則,Lead by Example,en
仪式的圣物厅钥匙,Ritualistic Reliquary Key,en
仪式节律,Ritual Cadence,en
仪式通道,Rite of Passage,en
仪式长袍,Ceremonial Robe,en
仪祭师,Ritualist,en
仪祭诅咒,Ritualistic Curse,en
仲裁官之握,Arbiter's Reach,en
仲裁官的圣物厅钥匙,The Arbiter's Reliquary Key,en
仲裁官的点燃,Arbiter's Ignition,en
仲裁者的寶庫鑰匙,The Arbiter's Reliquary Key,en
仲裁者的延伸,Arbiter's Reach,en
仲裁者的燃灼,Arbiter's Ignition,en
价值供奉,Worthy Tithes,en
价高者得,Whoever Pays Best,en
任你指揮,At your Command,en
任务物品,Quest Item,en
任務,Quest,en
任務物品,Quest Items,en
任務繼續,The Quest Continues,en
任務道具,Quest Item,en
伊什塔洛斯，永恒者,"Ishtaroth, the Perennial",en
伊克切尔的折磨,Ixchel's Torment,en
伊克斯的专注,Fixation of Yix,en
伊克斯的依戀,Fixation of Yix,en
伊克羅特之獄炎,Ichlotl's Inferno,en
伊奥尼尔的雷霆,Eonyr's Thunder,en
伊娜之雕像,Idol of Yeena,en
伊娜魔偶,Idol of Yeena,en
伊察拉，鲜血神谕者,"Ytzara, Blood Oracle",en
伊恩哈尔的魔物仪式,Einhar's Beastrite,en
伊果奉獻寶珠,Yugul's Orb of Sacrifice,en
伊柯洛塔的狱火,Ichlotl's Inferno,en
伊格娜提亚，焰誓者,"Ignatia, the Flame-Sworn",en
伊格纳杜克，沼泽老妪,"Ignagduk, the Bog Witch",en
伊歐涅的雷霆,Eonyr's Thunder,en
伊泽洛骑士,Knight of Izaro,en
伊澤洛之騎士,Knight of Izaro,en
伊瑞的栽培,Yriel's Fostering,en
伊瑞的精通,Yriel's Fostering,en
伊科巴，先古战驹,"Ekbab, Ancient Steed",en
伍夫之难,Wulfsbane,en
伍夫之难之遗产,Legacy of Wulfsbane,en
伏击,Ambush,en
伏打電盾,Voltaic Barrier,en
伏特之牙魔符,Voltfang Talisman,en
伐林地,Deforestation,en
伐采巨棍,Felled Greatclub,en
众志成城,All For One,en
众神之智,Wisdom of the Maji,en
众神魔符,Maji Talisman,en
优质生命药剂,Grand Life Flask,en
优质魔力药剂,Grand Mana Flask,en
优越,Superiority,en
优雅战铠,Elegant Plate,en
优雅护手,Elegant Mitts,en
优雅节杖,Smooth Quarterstaff,en
伙伴,Companions,en
伙伴：{0},Companion: {0},en
伟岸巨锤,Giant Maul,en
传奇之战,Calculated Investment,en
传奇决斗,Legendary Duels,en
传奇地图,Unique Map,en
传奇文化,Unique Culture,en
传家袖带,Heirloom Cuffs,en
传播秘密,Propagating Secrets,en
传说之鹿,The Fabled Stag,en
传说宝藏,Fabled Treasures,en
传说对决,Fabled Showdown,en
传送点,Waypoints,en
传道士束衣,Evangelist Garb,en
伤口外露,Exposed Wounds,en
伤口恶化,Aggravation,en
伤害作用于异常状态,Damage Contributing to Ailments,en
伤害吸收,Damage Absorption,en
伤害性异常状态,Damaging Ailments,en
伤害类型,Damage Types,en
伤害转化,Damage Conversion,en
伯爵夫人瑟絲可的箭術符文,Countess Seske's Rune of Archery,en
伯纳巴斯,Byrnabas,en
伯达克,The Bodach,en
伸展的手指,Unfurled Finger,en
伸手可及,Arms Length,en
位置正好,Right Where We Want Them,en
低于 0 时的护甲破损,Armour Break below 0,en
低地狱烈焰,Low Infernal Flame,en
低容忍,Low Tolerance,en
低符文保護,Low Runic Ward,en
低符文结界,Low Runic Ward,en
低等工匠石,Lesser Jeweller's Orb,en
低能量护盾,Low Energy Shield,en
低血,Low Life,en
低赤獄烈炎,Low Infernal Flame,en
低階保護符文,Lesser Ward Rune,en
低階充能符文,Lesser Charging Rune,en
低階冰川符文,Lesser Glacial Rune,en
低階命令精髓,Lesser Essence of Command,en
低階啟發符文,Lesser Inspiration Rune,en
低階堅實符文,Lesser Robust Rune,en
低階嫻熟符文,Lesser Adept Rune,en
低階寒冰精髓,Lesser Essence of Ice,en
低階岩石符文,Lesser Stone Rune,en
低階工匠石,Lesser Jeweller's Orb,en
低階巫術精髓,Lesser Essence of Sorcery,en
低階強化精髓,Lesser Essence of Enhancement,en
低階心智精髓,Lesser Essence of the Mind,en
低階心靈符文,Lesser Mind Rune,en
低階戰鬥精髓,Lesser Essence of Battle,en
低階探尋精髓,Lesser Essence of Seeking,en
低階接地精髓,Lesser Essence of Grounding,en
低階暴風符文,Lesser Storm Rune,en
低階毀滅精髓,Lesser Essence of Ruin,en
低階決心符文,Lesser Resolve Rune,en
低階沙漠符文,Lesser Desert Rune,en
低階烈焰精髓,Lesser Essence of Flames,en
低階無限精髓,Lesser Essence of the Infinite,en
低階生命藥劑,Lesser Life Flask,en
低階磨礪精髓,Lesser Essence of Abrasion,en
低階肉體符文,Lesser Body Rune,en
低階肉體精髓,Lesser Essence of the Body,en
低階解凍精髓,Lesser Essence of Thawing,en
低階豐裕精髓,Lesser Essence of Opulence,en
低階輕快精髓,Lesser Essence of Alacrity,en
低階迅捷精髓,Lesser Essence of Haste,en
低階遠見符文,Lesser Vision Rune,en
低階重生符文,Lesser Rebirth Rune,en
低階鍛鐵符文,Lesser Iron Rune,en
低階隔絕精髓,Lesser Essence of Insulation,en
低階電能精髓,Lesser Essence of Electricity,en
低階魔力藥劑,Lesser Mana Flask,en
低魔,Low Mana,en
佐林，鲜血祭司,"Zolin, Blood Priest",en
余烬之子沃卡,"Volkhar, the Emberborn",en
余震,Aftershocks,en
余震 I,Aftershock I,en
余震 II,Aftershock II,en
余震 III,Aftershock III,en
你不能就這樣醒來。,You can't just wake up from this one.,en
你以為你自由了嗎？,You thought you were free?,en
你再也吓不倒我了！,You can't scare me anymore!,en
你再也嚇不到我了！,You can't scare me anymore!,en
你就这点本事吗？,Is that the best you've got?!,en
你真觉得你自由了？,You thought you were free?,en
你确定你想这么做？,Are you sure you want to do that?,en
你確定要那樣做嗎？,Are you sure you want to do that?,en
佣兵,Mercenary,en
佣兵圆盾,Mercenary Targe,en
佣兵巨盔,Mercenary Greathelm,en
佣兵领地,Mercenary's Lot,en
佳华尼的圣典,Jiquani's Thesis,en
佳华尼的灵核,Soul Core of Jiquani,en
使徒护腿,Apostle Leggings,en
使流血变为恶性,Aggravating any Bleeding,en
使用咒符时施放,Cast on Charm Use,en
使用護符時施放,Cast on Charm Use,en
來之不易的珍寶,Hard-Won Treasures,en
來吧！面對我！,Come on! Face me!,en
來自地底,From Below,en
