source,target,tgt_lng
ウマ娘,赛马娘,zh-CN
ウマ娘 プリティーダービー,赛马娘 Pretty Derby,zh-CN
トレーナ,训练员,zh-CN
トレーナー,训练员,zh-CN
トレセン学園,特雷森学园,zh-CN
トレセン,特雷森,zh-CN
シンデレラグレイ,芦毛灰姑娘,zh-CN
スピカ,Spica,zh-CN
スマートファルコン,醒目飞鹰,zh-CN
ヒシミラクル,菱钻奇宝,zh-CN
ウインバリアシオン,凯旋芭蕾,zh-CN
ブエナ,,
ブエナビスタ,迷人景致,zh-CN
デアリングタクト,谋勇兼备,zh-CN
アーモンドアイ,杏目,zh-CN
スペシャルウィーク,特别周,zh-CN
サイレンススズカ,无声铃鹿,zh-CN
トウカイテイオー,东海帝王,zh-CN
マルゼンスキー,丸善斯基,zh-CN
フジキセキ,富士奇石,zh-CN
オグリキャップ,小栗帽,zh-CN
ゴールドシップ,黄金船,zh-CN
ウオッカ,伏特加,zh-CN
ダイワスカーレット,大和赤骥,zh-CN
タイキシャトル,大树快车,zh-CN
グラスワンダー,草上飞,zh-CN
ヒシアマゾン,菱亚马逊,zh-CN
メジロマックイーン,目白麦昆,zh-CN
エルコンドルパサー,神鹰,zh-CN
テイエムオペラオー,好歌剧,zh-CN
ナリタブライアン,成田白仁,zh-CN
シンボリルドルフ,鲁道夫象征,zh-CN
エアグルーヴ,气槽,zh-CN
アグネスデジタル,爱丽数码,zh-CN
セイウンスカイ,青云天空,zh-CN
タマモクロス,玉藻十字,zh-CN
ファインモーション,美妙姿势,zh-CN
ビワハヤヒデ,琵琶晨光,zh-CN
マヤノトップガン,重炮,zh-CN
マンハッタンカフェ,曼城茶座,zh-CN
ミホノブルボン,美浦波旁,zh-CN
メジロライアン,目白莱恩,zh-CN
ヒシアケボノ,菱曙,zh-CN
ユキノビジン,雪之美人,zh-CN
ライスシャワー,米浴,zh-CN
アイネスフウジン,艾尼斯风神,zh-CN
アグネスタキオン,爱丽速子,zh-CN
アドマイヤベガ,爱慕织姬,zh-CN
イナリワン,稻荷一,zh-CN
ウイニングチケット,胜利奖券,zh-CN
エアシャカール,空中神宫,zh-CN
エイシンフラッシュ,荣进闪耀,zh-CN
カレンチャン,真机伶,zh-CN
カワカミプリンセス,川上公主,zh-CN
ゴールドシチー,黄金城,zh-CN
サクラバクシンオー,樱花进王,zh-CN
シーキングザパール,采珠,zh-CN
シンコウウインディ,新光风,zh-CN
スイープトウショウ,东商变革,zh-CN
スーパークリーク,超级溪流,zh-CN
ゼンノロブロイ,荒漠英雄,zh-CN
トーセンジョーダン,东瀛佐敦,zh-CN
ナカヤマフェスタ,中山庆典,zh-CN
ナリタタイシン,成田大进,zh-CN
ニシノフラワー,西野花,zh-CN
ハルウララ,春乌拉拉,zh-CN
ウララ,乌拉拉,zh-CN
バンブーメモリー,青竹回忆,zh-CN
ビコーペガサス,微光飞驹,zh-CN
マーベラスサンデー,美丽周日,zh-CN
マチカネフクキタル,待兼福来,zh-CN
ミスターシービー,千明代表,zh-CN
メイショウドトウ,名将怒涛,zh-CN
メジロドーベル,目白多伯,zh-CN
ナイスネイチャ,优秀素质,zh-CN
キングヘイロー,圣王光环,zh-CN
マチカネタンホイザ,待兼诗歌剧,zh-CN
イクノディクタス,生野狄杜斯,zh-CN
メジロパーマー,目白善信,zh-CN
ダイタクヘリオス,大拓太阳神,zh-CN
ツインターボ,双涡轮,zh-CN
サトノダイヤモンド,里见光钻,zh-CN
キタサンブラック,北部玄驹,zh-CN
サクラチヨノオー,樱花千代王,zh-CN
シリウスシンボリ,天狼星象征,zh-CN
メジロアルダン,目白阿尔丹,zh-CN
ヤエノムテキ,八重无敌,zh-CN
ツルマルツヨシ,鹤丸刚志,zh-CN
サクラローレル,樱花桂冠,zh-CN
ナリタトップロード,成田路,zh-CN
メジロブライト,目白光明,zh-CN
ヤマニンゼファー,也文摄辉,zh-CN
フリオーソ,狂怒乐章,zh-CN
トランセンド,创升,zh-CN
エスポワールシチー,希望城市,zh-CN
ノースフライト,北方飞翔,zh-CN
シンボリクリスエス,吉兆,zh-CN
タニノギムレット,谷水琴蕾,zh-CN
ダイイチルビー,第一红宝石,zh-CN
メジロラモーヌ,目白高峰,zh-CN
アストンマーチャン,真弓快车,zh-CN
サトノクラウン,里见皇冠,zh-CN
シュヴァルグラン,高尚骏逸,zh-CN
ヴィルシーナ,极峰,zh-CN
ヴィブロス,强击,zh-CN
ダンツフレーム,烈焰快驹,zh-CN
ケイエスミラクル,凯斯奇迹,zh-CN
ジャングルポケット,森林宝穴,zh-CN
ビリーヴ,信念,zh-CN
ノーリーズン,莫名其妙,zh-CN
スティルインラブ,爱如往昔,zh-CN
コパノリッキー,小林历奇,zh-CN
ホッコータルマエ,北港火山,zh-CN
ワンダーアキュート,奇锐骏,zh-CN
サウンズオブアース,万籁争鸣,zh-CN
ロイスアンドロイス,莱斯莱斯,zh-CN
カツラギエース,葛城王牌,zh-CN
ネオユニヴァース,新宇宙,zh-CN
タップダンスシチー,跳舞城,zh-CN
ドゥラメンテ,大鸣大放,zh-CN
ラインクラフト,莱茵力量,zh-CN
シーザリオ,西沙里奥,zh-CN
エアメサイア,空中救主,zh-CN
デアリングハート,勇敢之心,zh-CN
フサイチパンドラ,房一潘多拉,zh-CN
オルフェーヴル,黄金巨匠,zh-CN
ジェンティルドンナ,贵妇人,zh-CN
ドリームジャーニー,梦之旅程,zh-CN
カルストンライトオ,金镇之光,zh-CN
デュランダル,多旺达,zh-CN
バブルガムフェロー,吹波糖,zh-CN
フェノーメノ,超常骏骥,zh-CN
ブラストワンピース,防爆装束,zh-CN
ラッキーライラック,旺紫丁,zh-CN
グランアレグリア,放声欢呼,zh-CN
ラヴズオンリーユー,唯独爱你,zh-CN
クロノジェネシス,创世驹,zh-CN
カレンブーケドール,机伶金花,zh-CN

ヴェニュスパーク,卓芙,zh-CN
ビューティー安心沢,Beauty安心泽,zh-CN
ライトハロー,明亮光晕,zh-CN
ダーレーアラビアン,达利阿拉伯,zh-CN
ゴドルフィンバルブ,高多芬柏布,zh-CN
バイアリーターク,拜耶尔土耳其,zh-CN
モンジュー,望族,zh-CN
ハッピーミーク,快乐米可,zh-CN
ハイセイコー,海塞克,zh-CN
スピードシンボリ,速度象征,zh-CN
セントライト,圣烈特,zh-CN
タッカーブライン,塔可布莱恩,zh-CN
駿川たづな,骏川手纲,zh-CN
秋川理事長,秋川理事长,zh-CN
乙名史記者,乙名史记者,zh-CN
桐生院トレーナー,桐生院训练员,zh-CN
安心沢刺々美,安心泽刺刺美,zh-CN
樫本理子,㭴本理子,zh-CN
佐岳メイ,佐岳鸣,zh-CN
都留岐涼花,都留岐凉花,zh-CN
リガントーナ,,
シュガーライツ,,
ソノンエルフィー,,
