source,target,tgt_lng
affective empathy,情感同理心,zh-CN
alexithymia,述情障碍,zh-CN
Aspie Supremacy,阿斯至上主义,zh-CN
autism,孤独谱系,zh-CN
autistic,孤独谱系,zh-CN
autism spectrum disorder,孤独谱系障碍,zh-CN
autism prevalence,孤独谱系障碍发生率,zh-CN
autistic adults,孤独谱系成年人,zh-CN
autistic community,孤独谱系社群,zh-CN
autistic people,孤独谱系群体,zh-CN
burnout,耗竭,zh-CN
camouflage,掩饰,zh-CN
cognitive empathy,认知同理心,zh-CN
crip theory,酷残理论,zh-CN
disability,残障,zh-CN
disorder,病症,zh-CN
double empathy,双向同理心,zh-CN
double empathy problem,双向同理心困境,zh-CN
individual with ADHD,ADHD个体,zh-CN
individuals with ADHD,ADHD个体,zh-CN
interoception,内感觉,zh-CN
masking,伪装,zh-CN
ND movement,神经多样性运动,zh-CN
neurodivergence,神经殊异性,zh-CN
neurodivergent,神经殊异,zh-CN
neurodiverse,神经多元,zh-CN
neurodiversity,神经多样性,zh-CN
neurodiversity lite,庸俗版神经多样性,zh-CN
neurodiversity-lite,庸俗版神经多样性,zh-CN
neuronormativity,神经规范性,zh-CN
neurotypical,神经典型,zh-CN
one with Asperger's Syndrome,阿斯伯格综合征个体,zh-CN
people with ADHD,ADHD群体,zh-CN
people with ASD,ASD群体,zh-CN
people with autism,孤独谱系群体,zh-CN
person with autism spectrum disorder,孤独谱系障碍群体,zh-CN
somebody with autism spectrum disorder,孤独谱系障碍个体,zh-CN
