source,target,tgt_lng
...and I Shall Rage,……而我將怒號（我即怒火）,zh-CN
...and Protect me from Harm,……並免我於傷痛（消灾的庇护）,zh-CN
...and Scatter Them to the Winds,……並驅散於長風之中（风卷残云）,zh-CN
0.1.1e Patch Notes,0.1.1e 更新檔說明,zh-CN
0.1.1f Patch Notes,0.1.1f 更新檔說明,zh-CN
0.2.0d Patch Notes,0.2.0d 更新檔說明,zh-CN
0.2.0g Patch Notes,0.2.0g 更新檔說明,zh-CN
0.3.0c Patch Notes,0.3.0c 更新檔說明,zh-CN
0.3.1 Patch Notes,0.3.1 更新檔說明,zh-CN
0.4.0d Patch Notes,0.4.0d 更新檔說明,zh-CN
0.4.0e Patch Notes,0.4.0e 更新檔說明,zh-CN
0.5.1 Patch Notes,0.5.1 版本更新公告,zh-CN
0.5.2 Patch Notes,0.5.2 版本更新公告,zh-CN
0.5.4 Patch Notes,0.5.4 版本更新公告,zh-CN
A Solid Plan,可靠的计划,zh-CN
Ab Aeterno,源於永恆（无始之时）,zh-CN
Abandoned City,遺棄城市（废弃之城）,zh-CN
Abasement,貶抑（屈辱）,zh-CN
Abberant Power,異常力量（异变之力）,zh-CN
Aberrant Sledge,怪異攻城錘（畸变巨锤）,zh-CN
Abiding Hex,永久咒術（恒远魔蛊）,zh-CN
Absent Amulet,虛無護身符（失神项链）,zh-CN
Abyss,深渊,zh-CN
Abyss Stash Tab,深淵倉庫頁,zh-CN
Abyss Tablet,深淵碑牌（深渊石板）,zh-CN
Abyssal Apparition,深渊幻象,zh-CN
Abyssal Conduit,深淵連結（深渊通道）,zh-CN
Abyssal Depths,無盡深淵（绝望深渊）,zh-CN
Abyssal Eye,深渊之眼,zh-CN
Abyssal Fissure,深淵裂谷,zh-CN
Abyssal Flail,深淵鏈錘（深渊连枷）,zh-CN
Abyssal Ire,深渊之怒,zh-CN
Abyssal Lich,深淵妖巫（深渊巫妖）,zh-CN
Abyssal Modifiers,深渊词缀,zh-CN
Abyssal Pact,深淵冥約（Abyssal Pact）,zh-CN
Abyssal Signet,深淵之記（深渊印戒）,zh-CN
Abyssal Wasting,深淵耗損（深渊耗散）,zh-CN
Accelerated Growth,飛速生長（迅猛绽放）,zh-CN
Accelerated Growth II,飛速生長II（迅猛绽放II）,zh-CN
Acceleration,加速,zh-CN
Account Bound,帳號綁定（账户绑定）,zh-CN
Accuracy,命中,zh-CN
Accurate,命中（精准）,zh-CN
Acidic Concoction,酸性灵药,zh-CN
Acolyte of Chayula,夏烏拉侍僧（夏乌拉追随者）,zh-CN
Acrid Wand,刺鼻法杖（刻薄法杖）,zh-CN
Acrimony,毒辣（尖刻）,zh-CN
Acrobatics,移形换影,zh-CN
Act,章節,zh-CN
Act 1,第 1 章,zh-CN
Act 2,第 2 章,zh-CN
Act 3,第 3 章,zh-CN
Act 4,第四章,zh-CN
Activating Marks,啟動印記（激活印记）,zh-CN
Adaptable Assault,可適應攻擊（灵活突袭）,zh-CN
Adaptation,適應（适者生存）,zh-CN
Adaptive Alloy,適應合金（适性合金）,zh-CN
Adaptive Biology,適應性生物學（适应生物学）,zh-CN
Adaptive Capability,應變能力（应变性能）,zh-CN
Adaptive Catalyst,適性催化劑（应变催化剂）,zh-CN
Adaptive Rune,適應符文,zh-CN
Adaptive Skin,適應皮膚（应变外观）,zh-CN
Added Skill Use Time,增加技能使用時間（附加技能使用时间）,zh-CN
Adding to Stat Totals,增添能力總量（附加至总属性）,zh-CN
Additional Projectiles,额外投射物,zh-CN
Additional Rare Monsters,额外稀有怪物,zh-CN
Adept Rune,嫻熟符文（行家符文）,zh-CN
Adherent Bow,信徒之弓（联排之弓）,zh-CN
Adherent Cuffs,追隨者腕帶（信徒袖带）,zh-CN
Adherent Leggings,信徒護腿（联排绑腿）,zh-CN
Adherent's Raiment,信徒之衣,zh-CN
Adhesive Grenades I,黏性擲彈 I（胶粘榴弹 I）,zh-CN
Adhesive Grenades II,黏性擲彈 II（胶粘榴弹 II）,zh-CN
Adhesive Grenades III,黏性擲彈 III（胶粘榴弹 III）,zh-CN
Admixture,混合劑（混合物）,zh-CN
Admonisher,告誡者（训诫）,zh-CN
Adonia's Ego,艾多尼亞的自負（阿多尼娅的自我）,zh-CN
Adorned Wraps,裝飾裹手（华饰裹手）,zh-CN
Adrenaline Rush,腎上腺素（激情冲动）,zh-CN
Advanced Munitions,先進彈藥（尖端弹药）,zh-CN
