source,target,tgt_lng
photographic image making,摄影创作,zh-CN
still photography,静态摄影,zh-CN
digital photography,数字摄影,zh-CN
analog photography,胶片摄影,zh-CN
fine-art photography,艺术摄影,zh-CN
documentary photography,纪实摄影,zh-CN
commercial photography,商业摄影,zh-CN
beauty photography,美妆摄影,zh-CN
portrait photography,人像摄影,zh-CN
street photography,街头摄影,zh-CN
travel photography,旅行摄影,zh-CN
landscape photography,风光摄影,zh-CN
architectural photography,建筑摄影,zh-CN
product photography,产品摄影,zh-CN
still-life photography,静物摄影,zh-CN
event photography,活动摄影,zh-CN
sports photography,体育摄影,zh-CN
wildlife photography,野生动物摄影,zh-CN
macro photography,微距摄影,zh-CN
close-up photography,近摄摄影,zh-CN
drone photography,无人机摄影,zh-CN
underwater photography,水下摄影,zh-CN
reproduction photography,翻拍摄影,zh-CN
360-degree photography,360度摄影,zh-CN
ultraviolet photography,紫外摄影,zh-CN
computational photography,计算摄影,zh-CN
large-format photography,大画幅摄影,zh-CN
medium-format photography,中画幅摄影,zh-CN
35mm photography,35毫米摄影,zh-CN
contact sheet,联系表,zh-CN
photo essay,摄影专题,zh-CN
visual narrative,视觉叙事,zh-CN
decisive moment,决定性瞬间,zh-CN
camera-to-subject angle,相机对拍摄对象的角度,zh-CN
high-angle photograph,俯拍照片,zh-CN
Dutch-angle photograph,倾斜构图照片,zh-CN
photographic composition,摄影构图,zh-CN
central composition,中心构图,zh-CN
frame within a frame,框中框构图,zh-CN
negative space in composition,构图负空间,zh-CN
background compression,背景压缩,zh-CN
headroom in portraiture,人像头顶留白,zh-CN
portrait orientation,纵向画幅,zh-CN
aspect-ratio crop,宽高比裁切,zh-CN
triptych photograph,三联照片,zh-CN
scale cue,尺度线索,zh-CN
two-point perspective photograph,两点透视照片,zh-CN
camera viewpoint,相机视点,zh-CN
missed-focus frame,失焦废片,zh-CN
location reference photo,场景参考照片,zh-CN
photography call sheet,摄影工作单,zh-CN
image culling,照片筛选,zh-CN
photo credit line,摄影署名行,zh-CN
model release form,肖像权使用授权书,zh-CN
property release,场地财产使用授权书,zh-CN
rights-managed photography,权利管理型摄影授权,zh-CN
copyright metadata,版权元数据,zh-CN
photographic print edition,摄影限量版次,zh-CN
gelatin silver print,明胶银盐印相,zh-CN
albumen print,蛋白印相,zh-CN
dry plate negative,干版底片,zh-CN
camera obscura,暗箱,zh-CN
lensless photography,无镜头摄影,zh-CN
flat-lay photography,平铺摄影,zh-CN
pixel-shift photography,像素位移摄影,zh-CN
rear-curtain motion trail,后帘同步运动拖影,zh-CN
low-light photography,弱光摄影,zh-CN
low-key photograph,低调照片,zh-CN
loop lighting,环形布光,zh-CN
short lighting,窄面光,zh-CN
grazing light photography,擦射光摄影,zh-CN
photographic exposure,摄影曝光,zh-CN
exposure value,曝光值,zh-CN
camera aperture,相机光圈,zh-CN
lens aperture value,镜头光圈值,zh-CN
working aperture,工作光圈,zh-CN
entrance pupil,入瞳,zh-CN
half-stop exposure increment,半档曝光增量,zh-CN
T-stop for still photography,静态摄影用T值,zh-CN
aperture priority mode,光圈优先模式,zh-CN
shutter priority mode,快门优先模式,zh-CN
manual exposure mode,手动曝光模式,zh-CN
bulb exposure mode,B门曝光模式,zh-CN
time exposure mode,T门曝光模式,zh-CN
auto ISO control,自动ISO控制,zh-CN
base ISO sensitivity,基础ISO感光度,zh-CN
expanded ISO sensitivity,扩展ISO感光度,zh-CN
ISO invariance,ISO不变性,zh-CN
exposure compensation,曝光补偿,zh-CN
flash exposure compensation,闪光曝光补偿,zh-CN
exposure lock button,曝光锁定按钮,zh-CN
auto exposure bracketing,自动包围曝光,zh-CN
flash bracketing,闪光包围,zh-CN
metered exposure,测光曝光值,zh-CN
handheld light meter,手持测光表,zh-CN
incident-light meter,入射光测光表,zh-CN
reflected-light meter,反射光测光表,zh-CN
spot light meter,点测光表,zh-CN
flash light meter,闪光测光表,zh-CN
through-the-lens metering,通过镜头测光,zh-CN
evaluative metering,评价测光,zh-CN
matrix metering,矩阵测光,zh-CN
center-weighted metering,中央重点测光,zh-CN
partial metering,局部测光,zh-CN
spot metering,点测光,zh-CN
face-priority metering,人脸优先测光,zh-CN
metering range,测光范围,zh-CN
K-factor in reflected-light metering,反射式测光K系数,zh-CN
18-percent gray card,18%灰卡,zh-CN
middle gray,中灰,zh-CN
zone system,区域曝光法,zh-CN
Zone X,X区,zh-CN
spot-meter averaging,点测光平均法,zh-CN
expose to the right,向右曝光,zh-CN
expose to the left,向左曝光,zh-CN
highlight clipping,高光剪切,zh-CN
shadow clipping,阴影剪切,zh-CN
clipped color channel,颜色通道剪切,zh-CN
zebra exposure warning,斑马纹曝光警告,zh-CN
image histogram,图像直方图,zh-CN
RGB histogram,RGB直方图,zh-CN
histogram peak,直方图峰值,zh-CN
histogram gap,直方图空档,zh-CN
false-color exposure display,伪色曝光显示,zh-CN
photographic dynamic range,摄影动态范围,zh-CN
sensor dynamic range,传感器动态范围,zh-CN
highlight headroom,高光余量,zh-CN
shadow latitude,阴影宽容度,zh-CN
photon shot noise,光子散粒噪声,zh-CN
read noise,读出噪声,zh-CN
dark-current noise,暗电流噪声,zh-CN
color noise in photographs,照片彩色噪声,zh-CN
hot pixel in an image,图像热像素,zh-CN
dead pixel in an image,图像死点,zh-CN
long-exposure noise reduction,长时间曝光降噪,zh-CN
flat-field correction,平场校正,zh-CN
lens shading correction,镜头阴影校正,zh-CN
local tone mapping,局部色调映射,zh-CN
exposure fusion,曝光融合算法,zh-CN
multi-minute exposure,分钟级长曝光,zh-CN
Schwarzschild effect,施瓦茨希尔德效应,zh-CN
bellows extension factor,皮腔延伸曝光倍数,zh-CN
sunny 16 rule,晴天F16法则,zh-CN
NPF rule for astrophotography,天文摄影NPF法则,zh-CN
photographic focus,摄影对焦,zh-CN
autofocus system,自动对焦系统,zh-CN
manual focus operation,手动对焦操作,zh-CN
single autofocus mode,单次自动对焦模式,zh-CN
phase-detection autofocus,相位检测自动对焦,zh-CN
contrast-detection autofocus,反差检测自动对焦,zh-CN
hybrid autofocus,混合自动对焦,zh-CN
on-sensor phase detection,传感器相位检测,zh-CN
dual cross-type AF point,双十字型自动对焦点,zh-CN
focus area mode,对焦区域模式,zh-CN
single-point autofocus,单点自动对焦,zh-CN
zone autofocus,区域自动对焦,zh-CN
group-area autofocus,组区域自动对焦,zh-CN
tracking autofocus,追踪自动对焦,zh-CN
3D-tracking autofocus,3D追踪自动对焦,zh-CN
subject-detection autofocus,主体检测自动对焦,zh-CN
human eye-detection autofocus,人眼检测自动对焦,zh-CN
vehicle-detection autofocus,车辆检测自动对焦,zh-CN
eye-control autofocus,眼控自动对焦,zh-CN
focus tracking sensitivity,对焦追踪灵敏度,zh-CN
focus priority,对焦优先,zh-CN
back-button focus,后键对焦,zh-CN
focus lock,对焦锁定,zh-CN
focus limiter,对焦限位器,zh-CN
focus-by-wire lens,电子对焦镜头,zh-CN
linear-response manual focus,线性响应手动对焦,zh-CN
direct manual focus,直接手动对焦,zh-CN
focus peaking,峰值对焦辅助,zh-CN
focus magnification,对焦放大,zh-CN
electronic rangefinder,电子测距辅助,zh-CN
depth of field,景深,zh-CN
circle of confusion,弥散圆,zh-CN
acceptable sharpness,可接受清晰度,zh-CN
far depth-of-field limit,景深远界,zh-CN
field curvature,像场弯曲,zh-CN
focus stacking,焦点堆叠,zh-CN
focus bracketing,焦点包围,zh-CN
front focus error,前跑焦,zh-CN
autofocus microadjustment,自动对焦微调,zh-CN
camera shutter,相机快门,zh-CN
mechanical shutter,机械快门,zh-CN
electronic shutter,电子快门,zh-CN
electronic first-curtain shutter,电子前帘快门,zh-CN
global shutter sensor,全局快门传感器,zh-CN
rolling shutter sensor,滚动快门传感器,zh-CN
focal-plane shutter,焦平面快门,zh-CN
leaf shutter,镜间快门,zh-CN
rotary shutter in a still camera,静态相机旋转快门,zh-CN
second shutter curtain,后帘,zh-CN
shutter lag,快门时滞,zh-CN
viewfinder blackout,取景器黑屏,zh-CN
